nohup: ignoring input
Epoch	train_loss	train_err[0]	train_err[1]	train_err[2]	test_loss	test_err[0]	test_err[1]	test_err[2]	time
1	1.923309	0.1521	0.1202	0.3869	0.042614	0.0837	0.0643	0.3611	1234.52
2	0.043324	0.0852	0.0640	0.3591	0.042060	0.0784	0.0642	0.3601	1231.34
3	0.027470	0.0697	0.0560	0.2678	0.011684	0.0533	0.0399	0.1657	1231.47
4	0.008633	0.0423	0.0380	0.1516	0.007797	0.0369	0.0356	0.1390	1229.58
5	0.007701	0.0393	0.0364	0.1449	0.005658	0.0354	0.0318	0.1319	1233.12
6	0.005308	0.0331	0.0321	0.1252	0.004961	0.0324	0.0302	0.1289	1231.78
7	0.004476	0.0307	0.0305	0.1145	0.004241	0.0270	0.0291	0.1124	1233.50
8	0.004011	0.0288	0.0291	0.1080	0.003407	0.0280	0.0271	0.0964	1230.85
9	0.003856	0.0286	0.0288	0.1044	0.003384	0.0260	0.0273	0.0998	1233.19
10	0.003527	0.0266	0.0274	0.0995	0.003065	0.0292	0.0268	0.0883	1231.78
11	0.004068	0.0279	0.0283	0.1032	0.003379	0.0242	0.0279	0.0981	1234.07
12	0.003485	0.0259	0.0269	0.0969	0.003190	0.0295	0.0264	0.0933	1232.54
13	0.003298	0.0253	0.0264	0.0943	0.002735	0.0209	0.0255	0.0835	1233.98
14	0.003223	0.0250	0.0261	0.0931	0.002909	0.0230	0.0264	0.0905	1231.77
15	0.003275	0.0250	0.0261	0.0932	0.002919	0.0220	0.0232	0.0910	1233.95
16	0.003133	0.0244	0.0258	0.0913	0.003006	0.0206	0.0257	0.0886	1232.14
17	0.003172	0.0241	0.0255	0.0905	0.002681	0.0202	0.0239	0.0819	1233.85
