nohup: ignoring input
Epoch	train_loss	train_err[0]	train_err[1]	test_loss	test_err[0]	test_err[1]	time
1	0.340658	0.0473	0.1027	0.000116	0.0045	0.0091	1208.71
2	0.010829	0.0226	0.0556	0.000441	0.0059	0.0315	1204.02
3	0.017929	0.0170	0.0484	0.001903	0.0152	0.0636	1207.77
4	0.001197	0.0146	0.0389	0.000643	0.0093	0.0301	1203.64
5	0.000634	0.0121	0.0275	0.000092	0.0057	0.0069	1206.27
6	0.000305	0.0102	0.0196	0.000169	0.0113	0.0136	1202.85
7	0.000238	0.0092	0.0157	0.000037	0.0045	0.0070	1206.04
8	0.000245	0.0085	0.0143	0.000068	0.0060	0.0084	1202.94
9	0.000191	0.0078	0.0126	0.000350	0.0136	0.0314	1205.57
10	0.000162	0.0072	0.0111	0.000034	0.0042	0.0038	1203.02
11	0.000119	0.0069	0.0111	0.000065	0.0052	0.0086	1204.69
12	0.000128	0.0068	0.0110	0.000261	0.0161	0.0143	1202.62
13	0.000131	0.0070	0.0112	0.000035	0.0059	0.0063	1204.71
14	0.000149	0.0062	0.0102	0.000034	0.0038	0.0087	1202.65
15	0.000099	0.0057	0.0095	0.000032	0.0048	0.0069	1204.66
16	0.000077	0.0057	0.0086	0.000018	0.0030	0.0045	1202.36
17	0.000083	0.0063	0.0094	0.000077	0.0079	0.0146	1204.31
18	0.000097	0.0057	0.0084	0.000087	0.0035	0.0057	1202.37
19	0.000080	0.0055	0.0082	0.000017	0.0034	0.0040	1204.67
20	0.000078	0.0061	0.0082	0.000028	0.0043	0.0068	1202.48
21	0.000076	0.0058	0.0075	0.000126	0.0073	0.0135	1205.51
22	0.000105	0.0059	0.0092	0.000071	0.0042	0.0145	1202.42
23	0.000070	0.0051	0.0081	0.000030	0.0041	0.0065	1205.17
24	0.000086	0.0054	0.0088	0.000492	0.0215	0.0453	1202.44
25	0.000065	0.0053	0.0083	0.000049	0.0061	0.0045	1205.95
26	0.000133	0.0063	0.0095	0.000042	0.0040	0.0052	1202.69
27	0.000099	0.0053	0.0086	0.000055	0.0066	0.0051	1205.11
28	0.000070	0.0057	0.0082	0.000466	0.0150	0.0443	1202.46
29	0.000076	0.0055	0.0081	0.000073	0.0042	0.0174	1205.02
30	0.000054	0.0046	0.0071	0.000030	0.0061	0.0052	1202.09
31	0.000048	0.0044	0.0071	0.000017	0.0030	0.0045	1204.95
32	0.000056	0.0046	0.0069	0.000116	0.0068	0.0231	1201.96
33	0.000043	0.0046	0.0064	0.000038	0.0036	0.0041	1204.63
34	0.000046	0.0044	0.0063	0.000012	0.0027	0.0026	1201.66
35	0.000049	0.0047	0.0071	0.000025	0.0034	0.0071	1204.28
36	0.000059	0.0046	0.0068	0.000030	0.0032	0.0049	1202.02
37	0.000045	0.0044	0.0063	0.000030	0.0048	0.0048	1204.58
38	0.000051	0.0045	0.0067	0.000026	0.0051	0.0033	1201.83
39	0.000046	0.0042	0.0062	0.000013	0.0026	0.0028	1204.59
40	0.000038	0.0043	0.0058	0.000019	0.0046	0.0030	1201.42
41	0.000078	0.0047	0.0074	0.000018	0.0038	0.0036	1204.30
42	0.000052	0.0041	0.0066	0.000027	0.0027	0.0052	1201.83
43	0.000053	0.0042	0.0064	0.000378	0.0188	0.0276	1204.26
44	0.000068	0.0049	0.0070	0.000029	0.0032	0.0032	1201.86
45	0.000031	0.0041	0.0057	0.000020	0.0028	0.0050	1204.10
46	0.000056	0.0047	0.0064	0.000033	0.0101	0.0043	1201.62
47	0.000050	0.0046	0.0061	0.000010	0.0029	0.0032	1204.27
48	0.000035	0.0040	0.0060	0.000034	0.0025	0.0027	1201.62
49	0.000032	0.0041	0.0058	0.000019	0.0027	0.0064	1204.04
50	0.000042	0.0042	0.0059	0.000020	0.0031	0.0072	1201.49
51	0.000055	0.0048	0.0073	0.000032	0.0038	0.0068	1204.33
52	0.000053	0.0043	0.0068	0.000035	0.0061	0.0060	1201.52
53	0.000035	0.0041	0.0058	0.000010	0.0028	0.0028	1204.20
54	0.000049	0.0044	0.0061	0.000020	0.0031	0.0049	1201.91
55	0.000043	0.0040	0.0063	0.000051	0.0044	0.0103	1204.12
56	0.000034	0.0040	0.0056	0.000012	0.0044	0.0029	1201.82
57	0.000032	0.0041	0.0060	0.000014	0.0028	0.0037	1204.37
58	0.000038	0.0043	0.0059	0.000029	0.0032	0.0069	1201.92
59	0.000035	0.0041	0.0059	0.000018	0.0037	0.0035	1204.22
60	0.000043	0.0042	0.0065	0.000017	0.0031	0.0045	1202.02
61	0.000060	0.0043	0.0058	0.000014	0.0028	0.0034	1204.21
62	0.000035	0.0039	0.0058	0.000070	0.0056	0.0081	1202.00
63	0.000045	0.0042	0.0061	0.000024	0.0041	0.0048	1204.64
64	0.000041	0.0041	0.0059	0.000035	0.0032	0.0072	1202.23
65	0.000040	0.0038	0.0058	0.000012	0.0040	0.0029	1204.45
66	0.000026	0.0037	0.0054	0.000010	0.0038	0.0025	1201.96
67	0.000062	0.0044	0.0067	0.000021	0.0030	0.0051	1204.69
68	0.000039	0.0038	0.0057	0.000024	0.0030	0.0065	1201.99
69	0.000034	0.0037	0.0056	0.000014	0.0024	0.0030	1204.26
70	0.000054	0.0042	0.0064	0.000026	0.0047	0.0058	1200.65
71	0.000036	0.0039	0.0060	0.000017	0.0029	0.0067	1204.13
72	0.000034	0.0038	0.0053	0.000013	0.0029	0.0040	1201.92
73	0.000054	0.0041	0.0059	0.000007	0.0024	0.0024	1204.54
74	0.000035	0.0039	0.0051	0.000012	0.0028	0.0028	1202.11
75	0.000027	0.0038	0.0051	0.000014	0.0027	0.0048	1204.16
76	0.000031	0.0039	0.0056	0.000016	0.0027	0.0039	1202.25
77	0.000048	0.0041	0.0054	0.000021	0.0047	0.0044	1204.41
78	0.000030	0.0039	0.0055	0.000021	0.0055	0.0035	1201.97
79	0.000037	0.0042	0.0060	0.000187	0.0078	0.0188	1204.40
