nohup: ignoring input
device = device(type='cuda')
Epoch	train_loss	train_err[0]	train_err[1]	train_err[2]	test_loss	test_err[0]	test_err[1]	test_err[2]	time
/home/sayko/.local/lib/python3.8/site-packages/scipy/optimize/minpack.py:833: OptimizeWarning: Covariance of the parameters could not be estimated
  warnings.warn('Covariance of the parameters could not be estimated',
1	0.025468	1.8131	12.1566	22.7965	0.009525	2.3261	2.5508	1.0038	342.56
2	0.009717	1.1122	9.8934	36.5101	0.009840	1.5479	3.6719	34.9646	342.85
3	0.008776	1.5616	1.5331	32.0571	0.006896	0.7201	1.5166	2.6958	345.72
4	0.007518	5.5371	4.1746	31.6763	0.006850	0.5435	1.9902	81.1337	355.32
5	0.007077	2.2405	2.8831	29.0003	0.006791	1.1914	3.4460	27.2556	348.88
6	0.006779	1.0282	0.1946	34.9197	0.006520	12.7115	-5.2974	1.1295	354.35
7	0.006491	1.0156	1.5679	30.8209	0.006490	0.9822	1.1757	1.0446	354.93
8	0.006308	0.8237	1.0244	29.9997	0.005948	0.7179	2.3745	20.7630	365.72
9	0.006282	0.7906	1.4684	41.5395	0.006059	1.0414	1.7333	0.9216	354.17
10	0.006201	0.8001	7.0234	28.7008	0.006470	1.1038	0.8631	1.5852	355.36
11	0.006242	0.7663	1.7173	26.8675	0.006144	0.5131	-16.8417	10.2045	355.01
12	0.006018	0.9257	3.3964	28.2709	0.006029	0.7377	-30.8736	1.0414	364.79
13	0.005922	1.5578	1.3804	30.7196	0.005925	0.6714	2.7972	75.2009	366.25
14	0.005890	1.0689	-8.7348	25.4657	0.005976	2.0178	0.6773	0.9352	356.09
15	0.005877	0.8815	-0.9867	29.9101	0.006155	0.5310	2.2448	54.3591	360.24
16	0.005762	0.8332	13.2962	30.0425	0.005342	0.7716	1.7885	15.4144	357.28
17	0.005888	0.8012	0.2737	26.1400	0.005899	2.9327	3.6310	2.7089	355.47
18	0.005780	0.8963	0.8861	30.2380	0.005661	0.6584	1.1853	1.7095	356.71
19	0.005639	0.9358	1.6323	30.2102	0.005381	1.2051	1.8469	41.0912	356.67
20	0.005697	0.8942	1.7336	28.6921	0.006422	0.7937	44.6998	1.1532	354.43
21	0.005527	1.1603	5.3775	27.1317	0.005479	0.6015	0.4666	1.5259	353.49
22	0.005739	0.8810	11.2346	26.8953	0.005588	0.8589	12.3335	17.3715	354.21
23	0.005676	0.7409	2.3867	26.9648	0.005823	1.0793	1.4145	0.9778	354.93
24	0.005458	1.2792	2.5316	37.0005	0.005558	1.3440	5.0655	27.7234	355.05
25	0.005459	1.1172	1.4517	29.0006	0.005664	1.0660	2.9955	0.9252	352.79
26	0.005517	0.8242	2.9082	31.1661	0.005689	0.6417	1.6046	2.4114	353.36
27	0.005538	0.7262	39.4991	24.9616	0.005398	0.8604	2.6617	60.3844	357.11
28	0.005420	0.6770	1.5563	26.2901	0.005574	2.0613	1.3949	3.2475	354.80
29	0.005457	0.8045	2.7882	28.8587	0.005403	0.4937	1.4578	65.0310	356.98
30	0.005435	1.0209	3.7806	26.6785	0.005299	0.8038	0.7825	87.9705	357.59
31	0.005425	0.7249	1.6757	24.1721	0.005447	1.3728	-0.1586	56.4117	353.89
32	0.005350	1.0951	3.3038	32.7352	0.005469	0.7122	1.5096	11.2362	354.86
