device = device(type='cuda')
Epoch	train_loss	train_err[0]	train_err[1]	train_err[2]	test_loss	test_err[0]	test_err[1]	test_err[2]	time
/home/sayko/.local/lib/python3.8/site-packages/scipy/optimize/minpack.py:833: OptimizeWarning: Covariance of the parameters could not be estimated
  warnings.warn('Covariance of the parameters could not be estimated',
1	0.025862	3.6471	2.3611	5.9208	0.008670	0.5595	1.0757	0.7416	201.69
2	0.008510	0.6819	0.8958	2.4021	0.008008	1.1039	0.7087	0.6597	201.36
3	0.007876	0.6865	1.0464	1.6545	0.006243	0.4656	0.4061	0.5632	202.79
4	0.006951	0.6562	0.6664	1.1101	0.007118	0.4679	1.2846	0.6123	204.47
5	0.006579	0.4957	0.6075	1.1702	0.006417	0.5365	1.3414	0.5348	206.89
6	0.006254	0.4270	0.5322	2.4169	0.006063	0.3227	0.4522	0.5974	204.07
7	0.006150	0.8153	0.6501	0.6353	0.005795	0.3647	0.3941	0.5196	206.24
8	0.006075	0.4261	0.5257	0.6203	0.006044	0.3039	0.5320	0.7677	205.08
9	0.005950	0.4509	0.4426	0.6202	0.005724	0.4623	0.3335	0.5477	207.80
10	0.005819	0.3982	0.4738	0.5919	0.005519	0.5052	0.2795	0.6244	207.27
11	0.005753	0.4893	0.3912	0.5876	0.005914	0.3287	0.3802	0.8140	208.07
12	0.005780	0.6360	0.6120	0.5928	0.005984	0.4644	0.3378	0.5052	208.25
13	0.005663	0.4872	0.4510	0.5754	0.005639	0.3413	0.4867	0.5999	206.57
14	0.005669	0.3834	0.4730	0.5711	0.005544	0.3624	0.3787	0.5993	205.80
15	0.005614	0.5176	0.7744	0.5688	0.005572	0.4288	0.4596	0.4894	206.30
16	0.005593	0.3674	0.4412	0.5655	0.005879	0.4249	0.2458	0.7855	207.33
17	0.005563	0.3703	0.4149	0.5587	0.005642	0.3439	0.3929	0.6569	208.48
18	0.005548	0.3775	0.5285	0.5544	0.005386	0.5152	0.4518	0.4919	207.02
19	0.005452	0.7617	0.4295	0.5488	0.005447	0.3469	0.3195	0.6584	207.56
20	0.005388	0.5193	0.5025	0.5435	0.005239	0.2631	0.3062	0.5144	207.07
21	0.005413	0.4461	0.9002	0.5391	0.005441	0.4138	0.3443	0.6022	205.75
22	0.005471	0.3889	0.3933	0.5472	0.005270	0.2842	0.3901	0.5343	206.94
23	0.005352	0.3651	0.4230	0.5342	0.005400	0.2708	3.3428	0.5240	206.56
24	0.005389	0.3371	0.6453	0.5412	0.006135	0.3635	0.7693	0.6111	207.82
25	0.005264	0.3856	0.7145	0.5273	0.005632	0.3474	0.4208	0.6216	207.64
26	0.005384	0.4724	0.4216	0.5388	0.005519	0.3226	0.3900	0.6567	208.31
27	0.005242	0.4266	0.3896	0.5363	0.005334	0.6135	0.2520	0.5214	207.48
28	0.005369	0.3396	0.7063	0.5290	0.005603	0.3079	1.0082	0.4609	207.48
29	0.005289	0.3192	0.4503	0.5268	0.005160	0.2760	0.2813	0.5747	206.98
30	0.005328	0.4172	0.3790	0.5230	0.005190	0.6185	0.3438	0.4754	206.99
31	0.005267	0.5362	0.8725	0.5252	0.005378	0.2832	0.8518	0.4685	206.92
32	0.005309	0.3584	0.5826	0.5322	0.005040	0.2640	0.4865	0.5138	207.14
