nohup: ignoring input
device = device(type='cuda')
Epoch	train_loss	train_err[0]	train_err[1]	train_err[2]	test_loss	test_err[0]	test_err[1]	test_err[2]	time
/home/sayko/.local/lib/python3.8/site-packages/scipy/optimize/minpack.py:833: OptimizeWarning: Covariance of the parameters could not be estimated
  warnings.warn('Covariance of the parameters could not be estimated',
1	0.021583	1.8248	5.8591	3.7903	0.009691	1.2628	3.0587	0.6812	203.78
2	0.009058	1.4779	1.0042	5.5224	0.007119	0.9794	0.3096	0.7858	203.93
3	0.007502	0.5657	1.2282	0.9090	0.006878	12.5361	0.8694	0.6561	204.62
4	0.006829	0.6363	0.7266	1.2463	0.006181	0.3262	0.3780	0.7696	205.83
5	0.006336	0.4975	1.0527	0.6927	0.006101	0.3786	0.7856	0.6643	209.25
6	0.006080	0.4658	0.6464	0.6453	0.005901	0.4666	0.8670	0.4851	207.51
7	0.006036	0.4030	0.4542	1.4298	0.005750	0.3452	0.5912	0.6846	208.43
8	0.005927	0.5047	0.7186	0.6227	0.005685	0.4649	1.0327	0.5442	208.30
9	0.005819	0.4046	0.4844	0.6082	0.005728	0.5212	0.6392	0.5087	208.69
10	0.005774	0.5171	0.3944	0.6038	0.005417	0.5412	0.5651	0.5065	208.78
11	0.005650	0.5671	0.3994	0.5992	0.005442	0.2510	0.3367	0.5707	209.00
12	0.005577	0.4002	0.6232	0.5886	0.005516	0.5006	1.4573	0.4795	208.93
13	0.005581	0.3613	1.4111	0.5773	0.005204	0.2409	0.4931	0.6265	208.37
14	0.005398	0.3544	0.9851	0.5706	0.005592	0.3403	0.4573	0.6866	209.16
15	0.005367	0.4861	4.5723	0.5536	0.005455	0.7874	0.6304	0.4767	207.66
16	0.005418	0.5215	0.6756	0.5679	0.005221	0.3379	1.9202	0.4865	209.28
17	0.005339	2.3909	0.6995	0.5671	0.005285	0.3145	0.2546	0.5840	208.51
18	0.005369	0.4473	0.3725	0.5581	0.005219	3.3830	0.6288	0.4726	209.36
19	0.005394	0.3311	0.9721	0.5504	0.005026	0.2602	0.3159	0.4660	209.47
20	0.005321	0.8267	0.4835	0.5480	0.005847	0.4919	0.8251	0.5217	209.09
21	0.005304	0.5298	0.4203	0.5494	0.005640	0.5378	0.3221	0.4675	208.90
22	0.005300	0.3511	0.4458	0.5443	0.005640	0.3615	0.2959	0.5112	210.63
23	0.005201	0.3566	0.6035	0.5349	0.005457	0.3816	0.2664	0.4891	210.76
24	0.005221	0.3876	0.6821	0.5378	0.005028	0.7505	0.3951	0.4750	210.86
25	0.005243	0.4042	0.6877	0.5296	0.005322	0.2414	0.6420	0.6399	211.15
26	0.005260	0.4132	0.3622	0.5363	0.005285	0.5302	0.3996	0.5559	210.75
27	0.005138	0.3779	0.4681	0.5272	0.004786	0.3897	0.2745	0.4787	210.67
28	0.005115	0.3659	0.4743	0.5251	0.005038	0.4141	0.4677	0.4446	209.04
29	0.005251	0.3543	0.4071	0.5284	0.005041	0.3016	0.5269	0.4424	208.58
30	0.005126	0.4270	0.5503	0.5276	0.005174	0.4259	0.3286	0.6428	208.94
31	0.005131	0.3370	0.3733	0.5224	0.005039	2.6219	0.6771	0.4541	209.99
32	0.005197	0.3816	0.7480	0.6247	0.004952	0.4738	0.4417	0.5330	209.64
