[32m[I 2022-10-23 20:56:59,060][0m A new study created in memory with name: Bg_Hyperparam_Tune[0m
Epoch	Bg_Error	Time
0	0.1509	145.32
1	0.0498	145.02
2	0.0368	145.58
3	0.0301	146.56
4	0.0267	145.97
5	0.0257	146.14
6	0.0235	146.44
7	0.0228	146.17
8	0.0216	146.42
9	0.0207	146.51
10	0.0199	146.11
11	0.0192	146.07
12	0.0185	146.93
13	0.0181	146.33
14	0.0175	146.58
15	0.0169	146.13
16	0.0167	146.18
17	0.0164	146.16
18	0.0161	146.38
19	0.0162	145.75
[32m[I 2022-10-23 21:45:43,265][0m Trial 0 finished with value: 0.016240859404206276 and parameters: {'optimizer': 'Adam', 'lr': 3.2435965553647186e-05, 'beta_1': 0.8452786165809302, 'beta_2': 0.9018986818808695, 'eps': 1.1425981875182049e-08}. Best is trial 0 with value: 0.016240859404206276.[0m
Epoch	Bg_Error	Time
0	0.1454	144.86
1	0.0416	145.61
2	0.0316	145.23
3	0.0284	144.93
4	0.0250	145.19
5	0.0238	145.21
6	0.0229	145.69
7	0.0226	144.86
8	0.0215	144.96
9	0.0202	144.33
10	0.0202	144.80
11	0.0193	144.74
12	0.0196	144.87
13	0.0188	145.57
14	0.0183	144.78
15	0.0179	144.60
16	0.0184	144.75
17	0.0175	145.30
18	0.0176	144.34
19	0.0169	144.53
[32m[I 2022-10-23 22:34:02,557][0m Trial 1 finished with value: 0.01687871478497982 and parameters: {'optimizer': 'Adam', 'lr': 0.0022411925320825854, 'beta_1': 0.8677459950795008, 'beta_2': 0.9041159987417232, 'eps': 6.341132986907799e-08}. Best is trial 0 with value: 0.016240859404206276.[0m
Epoch	Bg_Error	Time
0	0.1154	145.53
1	0.0511	146.03
2	0.0377	145.91
3	0.0332	146.22
4	0.0305	146.17
5	0.0285	146.57
6	0.0263	146.05
7	0.0249	145.99
8	0.0235	145.89
9	0.0228	145.93
10	0.0217	145.94
11	0.0213	146.00
12	0.0205	145.82
13	0.0199	145.87
14	0.0198	145.58
15	0.0187	146.06
16	0.0185	145.82
17	0.0179	146.01
18	0.0179	145.62
19	0.0175	146.08
[32m[I 2022-10-23 23:22:41,808][0m Trial 2 finished with value: 0.017450697720050812 and parameters: {'optimizer': 'Adam', 'lr': 0.00010362884102843985, 'beta_1': 0.636176619788461, 'beta_2': 0.7597644737135971, 'eps': 3.468670112236391e-08}. Best is trial 0 with value: 0.016240859404206276.[0m
Epoch	Bg_Error	Time
0	0.1013	145.49
1	0.0371	145.50
2	0.0292	145.28
3	0.0261	145.48
4	0.0241	144.93
5	0.0237	145.48
6	0.0223	145.09
7	0.0212	144.73
8	0.0207	144.74
9	0.0201	145.16
10	0.0196	145.06
11	0.0192	145.10
12	0.0177	145.09
13	0.0179	144.72
14	0.0177	144.67
15	0.0169	145.30
16	0.0174	145.48
17	0.0166	144.96
18	0.0163	144.96
19	0.0163	145.12
[32m[I 2022-10-24 00:11:04,298][0m Trial 3 finished with value: 0.01629699394106865 and parameters: {'optimizer': 'Adam', 'lr': 0.001385868005664874, 'beta_1': 0.8544204625662499, 'beta_2': 0.9323008252353012, 'eps': 2.769924857362498e-08}. Best is trial 0 with value: 0.016240859404206276.[0m
Epoch	Bg_Error	Time
0	0.4609	145.31
1	0.3735	144.48
2	0.3685	145.02
3	0.3708	144.88
4	0.3707	144.87
5	0.3696	144.99
6	0.3702	144.64
7	0.3709	144.26
8	0.3676	144.30
9	0.3682	144.65
10	0.3685	145.13
11	0.3695	144.81
12	0.3682	144.66
13	0.3666	145.23
14	0.3704	145.00
15	0.3666	145.19
16	0.3688	145.30
17	0.3699	144.92
18	0.3694	144.91
19	0.3702	145.00
[32m[I 2022-10-24 00:59:21,978][0m Trial 4 finished with value: 0.37022170424461365 and parameters: {'optimizer': 'Adam', 'lr': 0.0034001142640320424, 'beta_1': 0.602388804899212, 'beta_2': 0.8961646855644536, 'eps': 5.956122592369663e-09}. Best is trial 0 with value: 0.016240859404206276.[0m
Epoch	Bg_Error	Time
0	0.1196	145.48
1	0.0407	145.99
2	0.0300	145.98
3	0.0261	146.14
4	0.0227	145.96
5	0.0215	146.07
6	0.0204	146.30
7	0.0186	146.09
8	0.0188	145.62
9	0.0177	145.53
10	0.0169	145.37
11	0.0166	145.82
12	0.0162	145.83
13	0.0163	145.89
14	0.0153	145.65
15	0.0154	145.92
16	0.0149	145.65
17	0.0147	145.35
18	0.0148	146.06
19	0.0143	145.32
[32m[I 2022-10-24 01:47:58,195][0m Trial 5 finished with value: 0.014334258623421192 and parameters: {'optimizer': 'Adam', 'lr': 0.00038829101657962426, 'beta_1': 0.8074215814683462, 'beta_2': 0.9902961020843716, 'eps': 9.679999705453725e-09}. Best is trial 5 with value: 0.014334258623421192.[0m
Epoch	Bg_Error	Time
0	0.1660	145.82
1	0.0601	146.02
2	0.0429	146.43
3	0.0359	146.34
4	0.0317	146.28
5	0.0293	145.93
6	0.0272	146.23
7	0.0261	146.06
8	0.0250	146.41
9	0.0236	146.18
10	0.0228	145.97
11	0.0220	146.76
12	0.0214	146.08
13	0.0208	146.14
14	0.0201	146.41
15	0.0199	146.02
16	0.0191	146.20
17	0.0186	146.65
18	0.0187	146.40
19	0.0183	146.09
[32m[I 2022-10-24 02:36:42,783][0m Trial 6 finished with value: 0.01827353611588478 and parameters: {'optimizer': 'Adam', 'lr': 2.4350396894930715e-05, 'beta_1': 0.6988122967409834, 'beta_2': 0.7914757313008413, 'eps': 9.404318480730414e-09}. Best is trial 5 with value: 0.014334258623421192.[0m
Epoch	Bg_Error	Time
0	0.1442	145.32
1	0.0417	145.04
2	0.0331	145.78
3	0.0295	145.86
4	0.0264	145.08
5	0.0256	144.81
6	0.0242	145.25
7	0.0235	145.18
8	0.0219	145.01
9	0.0213	145.58
10	0.0212	144.67
11	0.0205	145.14
12	0.0195	144.91
13	0.0196	144.84
14	0.0184	144.64
15	0.0188	144.85
16	0.0179	144.88
17	0.0179	144.80
18	0.0175	144.53
19	0.0172	145.05
[32m[I 2022-10-24 03:25:04,136][0m Trial 7 finished with value: 0.01719757728278637 and parameters: {'optimizer': 'Adam', 'lr': 0.0014640722719701303, 'beta_1': 0.8177141556944034, 'beta_2': 0.8839551494415079, 'eps': 1.3856242265558381e-08}. Best is trial 5 with value: 0.014334258623421192.[0m
Epoch	Bg_Error	Time
0	0.1296	146.18
1	0.0441	145.44
2	0.0353	145.32
3	0.0299	144.96
4	0.0270	144.85
