device = device(type='cuda')
Epoch	train_loss	Bg Train Error	test_loss	Bg Test Error	time
0	0.011486	0.1054	0.001742	0.0473	145.54
1	0.001475	0.0443	0.000819	0.0308	145.30
2	0.001017	0.0358	0.001263	0.0437	145.19
3	0.000879	0.0332	0.000742	0.0286	145.43
4	0.000881	0.0323	0.000845	0.0301	145.86
5	0.000687	0.0285	0.000903	0.0357	145.87
6	0.000696	0.0284	0.000985	0.0397	145.95
7	0.000625	0.0269	0.000524	0.0208	145.41
8	0.000631	0.0268	0.000555	0.0202	145.17
9	0.000584	0.0254	0.000579	0.0232	145.04
10	0.000549	0.0248	0.000389	0.0174	145.05
11	0.000515	0.0237	0.000547	0.0258	144.98
12	0.000528	0.0245	0.000560	0.0230	145.04
13	0.000539	0.0246	0.000373	0.0163	145.15
14	0.000505	0.0234	0.000441	0.0201	144.76
15	0.000490	0.0228	0.000527	0.0253	145.07
16	0.000494	0.0235	0.000420	0.0177	145.01
17	0.000491	0.0226	0.000723	0.0364	145.10
18	0.000495	0.0232	0.000394	0.0193	145.21
19	0.000436	0.0217	0.000507	0.0269	145.01
20	0.000492	0.0227	0.000349	0.0157	144.87
21	0.000451	0.0218	0.000446	0.0243	144.78
22	0.000467	0.0220	0.000421	0.0240	145.04
23	0.000441	0.0215	0.000405	0.0200	144.65
24	0.000429	0.0214	0.000371	0.0201	144.90
25	0.000431	0.0210	0.000727	0.0375	145.08
26	0.000442	0.0216	0.000503	0.0279	145.85
27	0.000411	0.0206	0.000606	0.0328	146.46
28	0.000418	0.0210	0.000394	0.0200	146.04
29	0.000406	0.0208	0.000338	0.0175	145.89
30	0.000420	0.0205	0.000350	0.0163	145.73
31	0.000410	0.0203	0.000311	0.0146	145.60
32	0.000393	0.0199	0.000413	0.0239	145.76
33	0.000407	0.0204	0.000434	0.0242	145.65
34	0.000412	0.0199	0.000312	0.0140	145.59
35	0.000408	0.0200	0.000440	0.0223	145.82
36	0.000391	0.0197	0.000627	0.0301	145.88
37	0.000394	0.0198	0.000318	0.0166	145.56
38	0.000377	0.0196	0.000444	0.0246	145.82
39	0.000391	0.0196	0.000329	0.0157	145.99
40	0.000368	0.0190	0.000556	0.0317	146.38
41	0.000380	0.0197	0.000358	0.0191	146.08
42	0.000366	0.0196	0.000343	0.0192	145.62
43	0.000374	0.0193	0.000317	0.0155	145.70
44	0.000366	0.0192	0.000382	0.0209	145.86
45	0.000366	0.0192	0.000310	0.0150	145.96
46	0.000362	0.0191	0.000471	0.0206	145.64
47	0.000374	0.0187	0.000409	0.0246	145.23
48	0.000354	0.0187	0.000328	0.0152	144.94
49	0.000365	0.0189	0.000390	0.0201	145.22
50	0.000366	0.0189	0.000357	0.0192	145.10
51	0.000366	0.0184	0.000313	0.0163	145.03
52	0.000364	0.0187	0.000318	0.0173	145.50
53	0.000358	0.0188	0.000453	0.0248	145.26
54	0.000334	0.0180	0.000303	0.0140	145.02
55	0.000355	0.0186	0.000365	0.0184	145.25
56	0.000361	0.0183	0.000282	0.0141	145.19
57	0.000353	0.0179	0.000362	0.0218	145.04
58	0.000365	0.0185	0.000423	0.0233	144.99
59	0.000358	0.0185	0.000306	0.0158	145.11
60	0.000352	0.0186	0.000299	0.0168	145.48
61	0.000381	0.0192	0.000348	0.0183	144.89
62	0.000348	0.0182	0.000280	0.0137	145.07
63	0.000335	0.0182	0.000336	0.0167	144.95
64	0.000360	0.0185	0.000297	0.0141	144.85
65	0.000341	0.0177	0.000298	0.0144	145.34
66	0.000337	0.0177	0.000288	0.0137	145.40
67	0.000357	0.0183	0.000437	0.0227	145.03
68	0.000333	0.0179	0.000266	0.0130	145.25
69	0.000337	0.0177	0.000291	0.0141	144.99
70	0.000349	0.0183	0.000328	0.0153	145.37
71	0.000341	0.0178	0.000305	0.0148	145.40
72	0.000324	0.0174	0.000412	0.0243	145.33
73	0.000330	0.0175	0.000273	0.0163	146.01
74	0.000334	0.0174	0.000276	0.0166	146.37
75	0.000333	0.0179	0.000343	0.0191	146.52
76	0.000361	0.0184	0.000395	0.0246	147.01
77	0.000343	0.0183	0.000349	0.0152	146.47
78	0.000335	0.0174	0.000347	0.0197	146.27
79	0.000325	0.0172	0.000386	0.0209	146.26
80	0.000331	0.0178	0.000298	0.0163	146.54
81	0.000343	0.0174	0.000282	0.0156	146.19
82	0.000335	0.0174	0.000321	0.0170	146.55
83	0.000337	0.0178	0.000284	0.0146	146.40
84	0.000315	0.0174	0.000316	0.0156	146.46
85	0.000333	0.0172	0.000298	0.0138	146.52
86	0.000345	0.0178	0.000288	0.0166	146.72
87	0.000322	0.0173	0.000289	0.0167	146.62
88	0.000328	0.0175	0.000296	0.0149	146.25
89	0.000311	0.0171	0.000313	0.0158	146.30
90	0.000315	0.0172	0.000247	0.0127	146.56
91	0.000306	0.0172	0.000333	0.0191	146.60
92	0.000328	0.0170	0.000422	0.0235	146.76
93	0.000316	0.0168	0.000318	0.0164	146.56
94	0.000330	0.0171	0.000312	0.0187	146.15
95	0.000311	0.0167	0.000280	0.0135	146.47
96	0.000313	0.0168	0.000389	0.0234	145.80
97	0.000300	0.0166	0.000256	0.0133	146.69
98	0.000332	0.0173	0.000252	0.0128	145.94
99	0.000314	0.0168	0.000306	0.0180	146.46
epoch_best_accuracy = 91
epoch_best_loss = 91
