Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.660635,0.6748221,5608.916015625,83039.078125,0.0
0.42365006,0.42058405,5608.916015625,83039.078125,0.0
0.43949836,0.4352398,5608.916015625,83039.078125,0.0
0.22882679,0.24934845,5608.916015625,83039.078125,0.0
0.38793027,0.4017796,5608.916015625,83039.078125,0.0
0.37700385,0.3792894,5608.916015625,83039.078125,0.0
0.6817255,0.6788392,5608.916015625,83039.078125,0.0
0.5626407,0.61689407,5608.916015625,83039.078125,0.0
0.32103992,0.34871355,5608.916015625,83039.078125,0.0
0.5237216,0.6417297,5608.916015625,83039.078125,0.0
0.765344,0.667311,5608.916015625,83039.078125,0.0
0.36079282,0.35828897,5608.916015625,83039.078125,0.0
0.40731055,0.40660554,5608.916015625,83039.078125,0.0
0.7528796,0.7608353,5608.916015625,83039.078125,0.0
0.2572263,0.26120114,5608.916015625,83039.078125,0.0
0.36976144,0.3646023,5608.916015625,83039.078125,0.0
0.34100384,0.34205934,5608.916015625,83039.078125,0.0
0.27135566,0.26787183,5608.916015625,83039.078125,0.0
0.24012065,0.2419991,5608.916015625,83039.078125,0.0
0.64707196,0.6162412,5608.916015625,83039.078125,0.0
0.50949776,0.5187286,5608.916015625,83039.078125,0.0
0.38741773,0.39408678,5608.916015625,83039.078125,0.0
0.44024485,0.44449037,5608.916015625,83039.078125,0.0
0.34227532,0.33739483,5608.916015625,83039.078125,0.0
0.5998846,0.6303305,5608.916015625,83039.078125,0.0
0.31926346,0.31830412,5608.916015625,83039.078125,0.0
0.6177319,0.67985535,5608.916015625,83039.078125,0.0
0.2686568,0.26163414,5608.916015625,83039.078125,0.0
0.49004194,0.47326282,5608.916015625,83039.078125,0.0
0.3586359,0.37127727,5608.916015625,83039.078125,0.0
0.39804682,0.39739895,5608.916015625,83039.078125,0.0
0.2675102,0.27320495,5608.916015625,83039.078125,0.0
0.30837995,0.30896905,5608.916015625,83039.078125,0.0
0.45160532,0.4527704,5608.916015625,83039.078125,0.0
0.6835778,0.7072815,5608.916015625,83039.078125,0.0
0.304215,0.31066635,5608.916015625,83039.078125,0.0
0.5014707,0.5048616,5608.916015625,83039.078125,0.0
0.42257112,0.40608862,5608.916015625,83039.078125,0.0
0.5226083,0.56262445,5608.916015625,83039.078125,0.0
0.4859186,0.48991942,5608.916015625,83039.078125,0.0
0.42393988,0.4267548,5608.916015625,83039.078125,0.0
0.2964145,0.30467272,5608.916015625,83039.078125,0.0
0.29800647,0.29789698,5608.916015625,83039.078125,0.0
0.74871457,0.730899,5608.916015625,83039.078125,0.0
