device = device(type='cuda')
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	time
0	0.023006	0.1572	0.009227	0.0910	149.40
1	0.009462	0.1019	0.006597	0.0767	149.74
2	0.007741	0.0883	0.008270	0.0907	145.61
3	0.006369	0.0776	0.005783	0.0801	145.20
4	0.005422	0.0679	0.005100	0.0688	145.82
5	0.005172	0.0654	0.005630	0.0699	145.40
6	0.005130	0.0650	0.004667	0.0638	147.27
7	0.004597	0.0600	0.004218	0.0490	148.69
8	0.004527	0.0593	0.004005	0.0551	148.85
9	0.004473	0.0593	0.004400	0.0589	148.72
10	0.004201	0.0570	0.004465	0.0662	148.69
11	0.004112	0.0557	0.004076	0.0646	148.76
12	0.003858	0.0536	0.004256	0.0458	148.67
13	0.003935	0.0547	0.003787	0.0536	148.41
14	0.003785	0.0525	0.003434	0.0463	148.50
15	0.003534	0.0504	0.003990	0.0502	148.34
16	0.003733	0.0520	0.003539	0.0468	148.29
17	0.003722	0.0517	0.003159	0.0420	146.80
18	0.003467	0.0484	0.003130	0.0424	147.97
19	0.003410	0.0488	0.003395	0.0475	148.48
20	0.003491	0.0499	0.002803	0.0388	148.33
21	0.003463	0.0492	0.004087	0.0484	148.34
22	0.003446	0.0485	0.003514	0.0503	148.28
23	0.003336	0.0476	0.002928	0.0391	148.52
24	0.003335	0.0477	0.003096	0.0407	148.59
25	0.003324	0.0472	0.002966	0.0471	148.72
26	0.003136	0.0453	0.004306	0.0751	148.51
27	0.003163	0.0452	0.002925	0.0414	148.57
28	0.003108	0.0458	0.003005	0.0398	148.55
29	0.003121	0.0457	0.004099	0.0691	148.32
30	0.003084	0.0452	0.003300	0.0375	148.38
31	0.003196	0.0463	0.002876	0.0391	148.66
32	0.003022	0.0444	0.002752	0.0388	148.35
33	0.003028	0.0447	0.002554	0.0359	149.18
34	0.002898	0.0437	0.002643	0.0408	148.34
35	0.002960	0.0436	0.003570	0.0633	148.63
36	0.002952	0.0441	0.003019	0.0412	148.45
37	0.002963	0.0437	0.003297	0.0371	148.40
38	0.002821	0.0417	0.003139	0.0412	148.54
39	0.002868	0.0431	0.002846	0.0404	148.43
40	0.002821	0.0426	0.002947	0.0380	148.57
41	0.002713	0.0406	0.003511	0.0682	148.16
42	0.002774	0.0422	0.003029	0.0591	148.29
43	0.002846	0.0423	0.002974	0.0392	145.27
44	0.002764	0.0416	0.002336	0.0346	145.41
45	0.002709	0.0406	0.002599	0.0436	144.79
46	0.002719	0.0409	0.002780	0.0352	145.40
47	0.002806	0.0418	0.002983	0.0360	145.00
48	0.002795	0.0417	0.002363	0.0339	145.88
49	0.002696	0.0404	0.002651	0.0349	145.82
50	0.002822	0.0433	0.002544	0.0464	148.37
51	0.002548	0.0389	0.002436	0.0332	148.66
52	0.002707	0.0407	0.002754	0.0427	148.36
53	0.002711	0.0408	0.002947	0.0389	148.53
54	0.002636	0.0399	0.002792	0.0512	148.92
55	0.002609	0.0404	0.002767	0.0341	148.77
56	0.002570	0.0390	0.002623	0.0357	146.93
57	0.002618	0.0402	0.002459	0.0360	146.14
58	0.002595	0.0390	0.002295	0.0322	146.15
59	0.002493	0.0392	0.002581	0.0400	146.00
60	0.002534	0.0388	0.002344	0.0338	145.90
61	0.002650	0.0405	0.002673	0.0403	146.35
62	0.002517	0.0388	0.002628	0.0443	145.91
63	0.002554	0.0396	0.002467	0.0410	146.14
64	0.002500	0.0382	0.002801	0.0585	145.47
65	0.002492	0.0385	0.002378	0.0372	145.27
66	0.002550	0.0390	0.002380	0.0372	145.91
67	0.002550	0.0390	0.002469	0.0362	145.50
68	0.002553	0.0391	0.002212	0.0334	145.84
69	0.002460	0.0381	0.002430	0.0439	145.70
70	0.002517	0.0383	0.002152	0.0316	145.38
71	0.002661	0.0407	0.002685	0.0507	145.06
72	0.002435	0.0377	0.002589	0.0392	145.58
73	0.002512	0.0385	0.002262	0.0360	145.66
74	0.002333	0.0366	0.002963	0.0387	145.72
75	0.002543	0.0383	0.002388	0.0354	145.29
76	0.002464	0.0383	0.002441	0.0463	145.30
77	0.002424	0.0373	0.002477	0.0427	145.10
78	0.002358	0.0368	0.002178	0.0337	148.17
79	0.002397	0.0375	0.002577	0.0358	148.58
80	0.002382	0.0375	0.002244	0.0332	148.32
81	0.002384	0.0370	0.002349	0.0358	148.23
82	0.002412	0.0379	0.002178	0.0371	148.05
83	0.002357	0.0367	0.002420	0.0404	148.73
84	0.002378	0.0374	0.002579	0.0351	148.87
85	0.002288	0.0364	0.002140	0.0329	148.58
86	0.002488	0.0378	0.002359	0.0402	148.51
87	0.002343	0.0369	0.002441	0.0315	148.71
88	0.002263	0.0361	0.002307	0.0373	148.46
89	0.002273	0.0362	0.002230	0.0352	148.65
90	0.002300	0.0367	0.002074	0.0359	148.82
91	0.002359	0.0366	0.002115	0.0316	149.07
92	0.002337	0.0366	0.002064	0.0326	149.13
93	0.002297	0.0362	0.002143	0.0349	149.14
94	0.002378	0.0366	0.002111	0.0317	149.01
95	0.002411	0.0376	0.002135	0.0316	149.23
96	0.002278	0.0362	0.001976	0.0294	148.89
97	0.002268	0.0352	0.002349	0.0365	148.95
98	0.002264	0.0362	0.002159	0.0320	149.14
99	0.002286	0.0360	0.002530	0.0458	149.11
epoch_best_accuracy = 97
epoch_best_loss = 97
