,Polymer,Solvent,True Bg,Pred Bg,True Bth,Pred Bth,True Pe,Pred Pe,Num Nw,Subgroup,Group,Pred Pe Combo,Pred Pe g,Pred Pe th
0,poly(ethylene oxide),water,1.12,1.1132616996765137,0.62,0.5988200902938843,7.2,6.984,3,3,7,6.984,3.034,6.984
1,polystyrene,tetrahydrofuran,0.61,0.6062909960746765,0.0,0.499228298664093,6.287673698,6.349,4,4,8,6.349,6.349,2.901
2,polystyrene,toluene,0.74,0.6815007925033569,0.42,0.4374251961708069,4.4,4.98,11,5,9,4.98,3.75,4.826
3,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,0.62,0.5859466195106506,0.38,0.4137740731239319,12.55502896,8.534,1,6,10,8.534,6.77,8.534
4,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,0.72,0.7436969876289368,0.41,0.4252455234527588,8.08229989,6.446,1,7,11,6.446,2.827,6.446
5,galactomannan - guar gum,water,0.0,0.6052573919296265,0.27,0.28088048100471497,6.5,7.68,5,8,12,7.68,0.825,7.68
6,galactomannan - M. flocculosa,water,0.49,0.5072702169418335,0.28,0.2573881149291992,3.3,5.172,1,9,13,5.172,1.792,5.172
7,galactomannan - M. bimucronata,water,0.49,0.5118786096572876,0.27,0.27624812722206116,7.2,5.871,1,10,14,5.871,2.24,5.871
8,galactomannan - M. aspericarpa,water,0.49,0.49789243936538696,0.28,0.2569364011287689,5.8,9.982,1,11,15,9.982,1.998,9.982
9,galactomannan - M. taimbensis,water,0.5,0.504106879234314,0.28,0.32056260108947754,7.6,4.118,1,12,16,4.118,2.748,4.118
10,galactomannan - Cassia nodosa,water,0.0,0.5510109663009644,0.24,0.2510097026824951,7.2,11.096,1,13,17,11.096,0.899,11.096
11,chitosan,water,0.45,0.46217504143714905,0.27,0.3095092177391052,12.7,44.699,1,14,18,44.699,3.157,44.699
12,chitosan,water,0.43,0.4188171327114105,0.25,0.2556203603744507,12.7,44.699,1,14,19,44.699,3.157,44.699
13,sodium hyaluronate,water,0.61,0.5875034332275391,0.0,0.44455260038375854,3.7,3.448,5,15,20,3.482,3.448,3.253
14,sodium hyaluronate,water,0.6,0.6104069948196411,0.0,0.38641178607940674,3.2,2.842,2,16,21,5.519,2.842,5.519
15,sodium hyaluronate,water,0.99,0.8940438628196716,0.0,0.5443717241287231,3.2,2.842,1,16,22,5.519,2.842,5.519
16,sodium hyaluronate,water,0.54,0.5250647664070129,0.0,0.3927602171897888,3.2,2.842,1,16,23,5.519,2.842,5.519
17,sodium hyaluronate,PBS,0.63,0.6298445463180542,0.0,0.38458251953125,3.2,2.842,1,16,24,5.519,2.842,5.519
