,Polymer,Solvent,Group,True Bg,Pred Bg,True Bth,Pred Bth,Nw,phi_star,phi_star_star,l,b,v,phi_x,len_y
0,poly(ethylene oxide),water,0,1.12,1.1132616996765137,0.62,0.5988200902938843,9090.909091,0.001304415093495221,0.12858356119721806,0.338,0.9425924904699158,0.005305694403027564,0.010144493443407931,0.04927026020761501
1,poly(ethylene oxide),water,0,1.12,1.1132616996765137,0.62,0.5988200902938843,22727.27273,0.0006477234922720305,0.12858356119721806,0.338,0.9425924904699158,0.005305694403027564,0.005037374033206075,0.04927026020761501
2,poly(ethylene oxide),water,0,1.12,1.1132616996765137,0.62,0.5988200902938843,90909.09091,0.00022460313582268568,0.12858356119721806,0.338,0.9425924904699158,0.005305694403027564,0.0017467484469355717,0.04927026020761501
3,polystyrene,tetrahydrofuran,0,0.61,0.6062909960746765,0.0,0.499228298664093,3750.0,0.00041446080616259546,0.0621150416976972,0.255,1.0231558456806535,0.04418554428085286,0.006672470867518726,0.6641375844988527
4,polystyrene,tetrahydrofuran,0,0.61,0.6062909960746765,0.0,0.499228298664093,5769.230769,0.0002982285877180739,0.0621150416976972,0.255,1.0231558456806535,0.04418554428085286,0.004801229775703912,0.6641375844988527
5,polystyrene,tetrahydrofuran,0,0.61,0.6062909960746765,0.0,0.499228298664093,17307.69231,0.0001288334489356098,0.0621150416976972,0.255,1.0231558456806535,0.04418554428085286,0.0020741103187633544,0.6641375844988527
6,polystyrene,tetrahydrofuran,0,0.61,0.6062909960746765,0.0,0.499228298664093,75000.0,4.2023919001002224e-05,0.0621150416976972,0.255,1.0231558456806535,0.04418554428085286,0.0006765497994113104,0.6641375844988527
7,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,144.2307692,0.0070937984485423605,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.19375979394430717,0.18407325568247795
8,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,490.3846154,0.0027850240655210214,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.0760700621789124,0.18407325568247795
9,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,1538.461538,0.001162692578028291,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.03175774952918606,0.18407325568247795
10,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,2557.692308,0.0007885023579858381,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.02153712929908936,0.18407325568247795
11,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,3201.923077,0.0006641484637750957,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.018140530834497147,0.18407325568247795
12,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,6740.384615,0.00037608325856053717,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.010272326626303658,0.18407325568247795
13,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,9798.076923,0.0002825969629829229,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.007718844807059529,0.18407325568247795
14,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,17019.23077,0.00018533651451819308,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.0050622758912441555,0.18407325568247795
15,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,17884.61538,0.00017844512077379578,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.0048740445732007335,0.18407325568247795
16,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,30769.23077,0.00011789027571120145,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.0032200513865083985,0.18407325568247795
17,polystyrene,toluene,0,0.74,0.6815007925033569,0.42,0.4374251961708069,87980.76923,5.283075910823661e-05,0.03661130260378656,0.255,1.3327005897748696,0.015951577730048464,0.00144301773908401,0.18407325568247795
18,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,0,0.62,0.5859466195106506,0.38,0.4137740731239319,3061.0,0.00043689248583630703,0.029312516061773285,0.255,1.4894078257674799,0.0324218399796645,0.014904639537445318,0.33476779030822296
19,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,0,0.72,0.7436969876289368,0.41,0.4252455234527588,3061.0,0.0008932817951795779,0.03270084702574112,0.255,1.4101349590100007,0.00900335325797315,0.027316778506575483,0.09818909343652092
20,galactomannan - guar gum,water,0,0.0,0.6052573919296265,0.27,0.28088048100471497,950.0,0.0007189569361025372,0.006224238717258472,0.54,6.844640449115422,0.09061353328513866,0.11550921626913578,0.045399901021884695
21,galactomannan - guar gum,water,0,0.0,0.6052573919296265,0.27,0.28088048100471497,1918.0,0.0005059881886104351,0.006224238717258472,0.54,6.844640449115422,0.09061353328513866,0.08129318485286223,0.045399901021884695
22,galactomannan - guar gum,water,0,0.0,0.6052573919296265,0.27,0.28088048100471497,2501.0,0.00044310620806295475,0.006224238717258472,0.54,6.844640449115422,0.09061353328513866,0.07119042636239462,0.045399901021884695
23,galactomannan - guar gum,water,0,0.0,0.6052573919296265,0.27,0.28088048100471497,4212.0,0.0003414447970366824,0.006224238717258472,0.54,6.844640449115422,0.09061353328513866,0.054857278543949416,0.045399901021884695
24,galactomannan - guar gum,water,0,0.0,0.6052573919296265,0.27,0.28088048100471497,12004.0,0.00020225612722639738,0.006224238717258472,0.54,6.844640449115422,0.09061353328513866,0.0324949180797942,0.045399901021884695
25,galactomannan - M. flocculosa,water,0,0.49,0.5072702169418335,0.28,0.2573881149291992,4778.0,0.00020173164905229503,0.0043888825279968435,0.54,8.15111051468574,0.19555238216005513,0.04596423981855094,0.08227327961079371
26,galactomannan - M. bimucronata,water,0,0.49,0.5118786096572876,0.27,0.27624812722206116,3405.0,0.0002685118570389654,0.005823678211041431,0.54,7.076118136209074,0.2245473992619682,0.046106918567354736,0.10882418788345749
27,galactomannan - M. aspericarpa,water,0,0.49,0.49789243936538696,0.28,0.2569364011287689,1934.0,0.0003806745573803821,0.004358153743854419,0.54,8.179796257020895,0.21640225683887462,0.08734766595079034,0.09072600331806056
28,galactomannan - M. taimbensis,water,0,0.5,0.504106879234314,0.28,0.32056260108947754,1664.0,0.00044320712562138904,0.010559695947914857,0.54,5.254943525932973,0.36504108760573467,0.04197158022423039,0.23822436444092232
29,galactomannan - Cassia nodosa,water,0,0.0,0.5510109663009644,0.24,0.2510097026824951,3373.0,0.00027230985397408344,0.00396973976040185,0.54,8.570629892011706,0.11427225926857079,0.06859639936359908,0.04572361433824108
30,chitosan,water,0,0.45,0.46217504143714905,0.27,0.3095092177391052,1168.0,0.00044760315041573876,0.009176865160179622,0.54,5.636981176515708,0.5442131511006246,0.048775169145775885,0.33108151072146863
31,chitosan,water,0,0.43,0.4188171327114105,0.25,0.2556203603744507,1168.0,0.00033307879573800435,0.004269546728737221,0.54,8.2642391116156,0.570227792181587,0.07801268305512074,0.23662356137063897
32,sodium hyaluronate,water,0,0.61,0.5875034332275391,0.0,0.44455260038375854,623.0,0.0014860805801853879,0.03905643686333011,0.99,5.009436601897947,2.265376328399174,0.038049568765978786,0.461403712173811
33,sodium hyaluronate,water,0,0.61,0.5875034332275391,0.0,0.44455260038375854,972.0,0.001057923343662866,0.03905643686333011,0.99,5.009436601897947,2.265376328399174,0.02708704194816463,0.461403712173811
34,sodium hyaluronate,water,0,0.61,0.5875034332275391,0.0,0.44455260038375854,2492.0,0.0005153099468354676,0.03905643686333011,0.99,5.009436601897947,2.265376328399174,0.013193982560126716,0.461403712173811
35,sodium hyaluronate,water,0,0.61,0.5875034332275391,0.0,0.44455260038375854,3364.0,0.0004097446129117752,0.03905643686333011,0.99,5.009436601897947,2.265376328399174,0.010491090478775403,0.461403712173811
36,sodium hyaluronate,water,0,0.61,0.5875034332275391,0.0,0.44455260038375854,5482.0,0.0002821511383246136,0.03905643686333011,0.99,5.009436601897947,2.265376328399174,0.007224190453213716,0.461403712173811
37,sodium hyaluronate,water,0,0.6,0.6104069948196411,0.0,0.38641178607940674,3115.0,0.0004873674877497367,0.022294691028454123,0.99,6.630319637451199,1.2517590973430988,0.021860248573425955,0.1926264414447436
38,sodium hyaluronate,water,0,0.6,0.6104069948196411,0.0,0.38641178607940674,9968.0,0.00020041119176780859,0.022294691028454123,0.99,6.630319637451199,1.2517590973430988,0.008989189018678442,0.1926264414447436
39,sodium hyaluronate,water,0,0.99,0.8940438628196716,0.0,0.5443717241287231,3987.0,0.001268185416966352,0.08781773581695067,0.99,3.3407507670442795,0.358918460967044,0.014441108110664425,0.10961786289922316
40,sodium hyaluronate,water,0,0.54,0.5250647664070129,0.0,0.3927602171897888,3987.0,0.0002568886437824126,0.0237963290739604,0.99,6.41771181808101,3.0770097718456775,0.010795305569358513,0.4891907930684346
41,sodium hyaluronate,PBS,0,0.63,0.6298445463180542,0.0,0.38458251953125,3738.0,0.000465804518238798,0.021875508712315708,0.99,6.693543867314889,1.034290313873536,0.021293425646213858,0.15765797874305512
42,sodium carboxymethylcellulose,water,0,0.4,0.40198424458503723,0.25,0.30844271183013916,811.0,0.0003891662434979832,0.009051030974799326,0.54,5.676030680134688,1.1913860768485731,0.042996896660892445,0.7198139624045075
43,hydroxypropyl methyl cellulose,water,0,0.43,0.4201379120349884,0.0,0.30618518590927124,2281.0,0.000201635919669894,0.008788944013579646,0.54,5.760038826022786,0.9088729906233766,0.022941996144058924,0.5411158647506775
44,methyl cellulose,water,0,0.43,0.4327566623687744,0.0,0.30620771646499634,1200.0,0.00035994555595816945,0.008791531227591295,0.54,5.759191217720818,0.7683636252814287,0.040942305343637776,0.45752810709575914
45,sodium kappa-carrageenan,water,0,0.63,0.6092516183853149,0.39,0.4188440144062042,1053.0,0.0011098257547961234,0.030775793106689084,0.99,5.643266599752299,1.5705966877107063,0.03606164594844849,0.2839642845177005
