[32m[I 2023-03-31 10:47:32,269][0m A new study created in memory with name: Bg_Hyperparam_Tune[0m
Epoch	Bg_Error	Time
0	0.2226	192.38
1	0.0794	194.06
2	0.0540	193.36
3	0.0415	193.37
4	0.0363	193.41
5	0.0324	193.57
6	0.0292	193.07
7	0.0275	193.09
8	0.0253	193.09
9	0.0239	193.34
10	0.0228	193.11
11	0.0221	193.03
12	0.0211	192.71
13	0.0202	192.37
14	0.0197	192.58
15	0.0192	192.84
16	0.0184	192.49
17	0.0181	192.74
18	0.0179	192.43
19	0.0176	192.72
[32m[I 2023-03-31 11:51:54,155][0m Trial 0 finished with value: 0.017571989446878433 and parameters: {'optimizer': 'Adam', 'lr': 0.0001655494139793329, 'beta_1': 0.5366635258265391, 'beta_2': 0.9840373075403576, 'eps': 2.075121554003477e-09}. Best is trial 0 with value: 0.017571989446878433.[0m
Epoch	Bg_Error	Time
0	0.4305	193.69
1	0.3347	194.00
2	0.3523	193.95
3	0.3383	193.60
4	0.0689	193.53
5	0.0436	193.10
6	0.0360	192.82
7	0.0308	193.16
8	0.0289	192.86
9	0.0271	193.01
10	0.0257	192.97
11	0.0243	192.51
12	0.0234	192.94
13	0.0226	192.98
14	0.0223	192.76
15	0.0217	192.59
16	0.0208	192.63
17	0.0207	192.61
18	0.0201	192.50
19	0.0199	192.94
[32m[I 2023-03-31 12:56:15,608][0m Trial 1 finished with value: 0.019865306094288826 and parameters: {'optimizer': 'Adam', 'lr': 0.00021585513769746588, 'beta_1': 0.5981994138175848, 'beta_2': 0.8588819818804141, 'eps': 7.251243889769987e-08}. Best is trial 0 with value: 0.017571989446878433.[0m
Epoch	Bg_Error	Time
0	0.2787	193.02
1	0.0599	193.61
2	0.0410	193.29
3	0.0338	193.55
4	0.0319	193.03
5	0.0281	193.12
6	0.0264	192.74
7	0.0242	193.09
8	0.0245	192.84
9	0.0221	192.80
10	0.0208	192.88
11	0.0197	192.88
12	0.0194	192.82
13	0.0186	192.71
14	0.0174	193.00
15	0.0177	192.92
16	0.0169	192.78
17	0.0164	192.66
18	0.0170	193.09
19	0.0163	192.47
[32m[I 2023-03-31 14:00:35,173][0m Trial 2 finished with value: 0.016340844333171844 and parameters: {'optimizer': 'Adam', 'lr': 0.00015362156311655897, 'beta_1': 0.8119786511007876, 'beta_2': 0.8874562990658252, 'eps': 1.2668111585412179e-08}. Best is trial 2 with value: 0.016340844333171844.[0m
Epoch	Bg_Error	Time
0	0.5586	194.18
1	0.5566	194.10
2	0.5556	194.38
3	0.5540	194.16
4	0.5519	193.68
5	0.5510	193.59
6	0.5494	193.70
7	0.5487	193.85
8	0.5464	194.47
9	0.5454	194.24
10	0.5442	194.33
11	0.5441	194.25
12	0.5430	194.31
13	0.5386	194.32
14	0.5376	194.38
15	0.5005	194.07
16	0.4627	194.36
17	0.3014	194.27
18	0.2050	194.44
19	0.1775	194.43
[32m[I 2023-03-31 15:05:18,946][0m Trial 3 finished with value: 0.177540123462677 and parameters: {'optimizer': 'Adam', 'lr': 1.1110715942442234e-06, 'beta_1': 0.7161646244519246, 'beta_2': 0.7966827634154255, 'eps': 3.797890970798457e-09}. Best is trial 2 with value: 0.016340844333171844.[0m
Epoch	Bg_Error	Time
0	0.5012	193.82
1	0.4879	194.21
2	0.4693	194.26
3	0.1688	194.25
4	0.0795	194.40
5	0.0634	194.66
6	0.0498	194.46
7	0.0428	194.46
8	0.0377	194.74
9	0.0339	194.55
10	0.0330	194.32
11	0.0298	194.89
12	0.0305	194.28
13	0.0293	194.22
14	0.0275	194.36
15	0.0273	194.52
16	0.0267	194.29
17	0.0256	194.21
18	0.0258	194.18
19	0.0253	194.20
[32m[I 2023-03-31 16:10:06,471][0m Trial 4 finished with value: 0.025305962190032005 and parameters: {'optimizer': 'Adam', 'lr': 1.1478318733998714e-05, 'beta_1': 0.8996627358455771, 'beta_2': 0.7728247111372969, 'eps': 6.396421602639757e-09}. Best is trial 2 with value: 0.016340844333171844.[0m
Epoch	Bg_Error	Time
0	0.1651	193.28
1	0.0421	193.08
2	0.0345	192.96
3	0.0270	192.76
4	0.0241	192.88
5	0.0223	192.86
6	0.0219	192.60
7	0.0217	192.55
8	0.0201	192.65
9	0.0191	192.70
10	0.0178	192.52
11	0.0182	192.53
12	0.0173	192.16
13	0.0171	192.67
14	0.0164	192.50
15	0.0158	192.53
16	0.0161	192.50
17	0.0155	192.69
18	0.0148	192.39
19	0.0151	192.48
[32m[I 2023-03-31 17:14:20,038][0m Trial 5 finished with value: 0.015105611644685268 and parameters: {'optimizer': 'Adam', 'lr': 0.0004925134123538268, 'beta_1': 0.8410898541804086, 'beta_2': 0.9780679859717768, 'eps': 1.4174921122707617e-08}. Best is trial 5 with value: 0.015105611644685268.[0m
Epoch	Bg_Error	Time
0	0.3693	192.40
1	0.3044	191.68
2	0.0665	192.28
3	0.0435	192.14
4	0.0357	192.33
5	0.0319	192.25
6	0.0293	192.19
7	0.0260	192.39
8	0.0247	192.45
9	0.0243	192.52
10	0.0225	192.06
11	0.0225	192.63
12	0.0219	192.72
[32m[I 2023-03-31 17:59:12,475][0m Trial 6 pruned. [0m
Epoch	Bg_Error	Time
0	0.6609	192.42
