[32m[I 2023-04-03 11:46:26,361][0m A new study created in memory with name: Bth_Hyperparam_Tune[0m
Epoch	Bth_Error	Time
0	0.2115	189.72
1	0.0931	190.79
2	0.0757	190.83
3	0.0677	191.12
4	0.0619	190.76
5	0.0561	190.80
6	0.0526	190.63
7	0.0495	190.79
8	0.0488	191.06
9	0.0459	191.56
10	0.0450	191.18
11	0.0444	189.89
12	0.0431	190.17
13	0.0422	189.79
14	0.0409	189.60
15	0.0407	190.70
16	0.0402	219.17
17	0.0395	221.33
18	0.0396	221.54
19	0.0380	221.72
[32m[I 2023-04-03 12:52:01,632][0m Trial 0 finished with value: 0.03800675645470619 and parameters: {'optimizer': 'Adam', 'lr': 0.00031652700926760197, 'beta_1': 0.7108416584702568, 'beta_2': 0.8795582401820147, 'eps': 1.266540155897796e-08}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.2562	221.21
1	0.1204	220.22
2	0.0896	206.83
3	0.0780	206.58
4	0.0693	206.80
5	0.0647	206.16
6	0.0607	206.38
7	0.0572	193.26
8	0.0547	190.23
9	0.0532	190.37
10	0.0507	190.26
11	0.0501	190.45
12	0.0483	190.02
13	0.0471	190.00
14	0.0460	189.88
15	0.0446	189.90
16	0.0445	189.70
17	0.0446	189.75
18	0.0429	190.16
19	0.0435	190.10
[32m[I 2023-04-03 13:57:50,353][0m Trial 1 finished with value: 0.04346857964992523 and parameters: {'optimizer': 'Adam', 'lr': 0.0009752185624410388, 'beta_1': 0.5833769491568438, 'beta_2': 0.8212161428530812, 'eps': 4.3686335430218796e-08}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.4213	191.73
1	0.4169	192.15
2	0.4125	192.09
3	0.4083	192.14
4	0.4028	191.80
5	0.3992	191.98
6	0.3939	191.84
7	0.3899	191.99
8	0.3860	192.02
9	0.3842	192.15
10	0.3772	192.00
11	0.3745	191.87
12	0.3707	191.94
13	0.3659	192.10
14	0.3630	191.97
15	0.3584	191.87
16	0.3536	191.92
17	0.3509	191.87
18	0.3475	191.95
19	0.3441	192.06
[32m[I 2023-04-03 15:01:50,019][0m Trial 2 finished with value: 0.34410345554351807 and parameters: {'optimizer': 'Adam', 'lr': 3.5190716472451716e-06, 'beta_1': 0.6732017978694709, 'beta_2': 0.8554602353798012, 'eps': 4.7031964512639284e-08}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.1850	190.24
1	0.0848	190.32
2	0.0734	190.17
3	0.0689	190.08
4	0.0636	190.11
5	0.0583	189.89
6	0.0550	189.95
7	0.0543	189.98
8	0.0505	190.10
9	0.0488	189.94
10	0.0469	189.63
11	0.0458	189.41
12	0.0439	189.88
13	0.0442	189.94
14	0.0426	189.95
15	0.0416	189.32
16	0.0410	189.67
17	0.0405	189.75
18	0.0399	189.87
19	0.0392	190.01
[32m[I 2023-04-03 16:05:08,501][0m Trial 3 finished with value: 0.03920767456293106 and parameters: {'optimizer': 'Adam', 'lr': 0.0006364728444337851, 'beta_1': 0.7342862477793266, 'beta_2': 0.8541262469167206, 'eps': 1.4632941260610764e-09}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.4460	191.65
1	0.4411	191.96
2	0.4361	191.80
3	0.3553	191.90
4	0.2367	192.16
5	0.2080	192.32
6	0.1942	192.27
7	0.1799	192.87
8	0.1584	192.52
9	0.1274	192.49
10	0.1152	192.56
11	0.1055	192.56
12	0.0982	192.47
13	0.0920	192.68
14	0.0877	192.80
15	0.0855	192.49
16	0.0836	192.33
17	0.0826	192.30
18	0.0816	192.62
19	0.0805	192.83
[32m[I 2023-04-03 17:09:16,322][0m Trial 4 finished with value: 0.0804763212800026 and parameters: {'optimizer': 'Adam', 'lr': 4.221920496195766e-06, 'beta_1': 0.5205036228118671, 'beta_2': 0.8112577643458656, 'eps': 3.995451996900991e-09}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
0	0.3074	191.55
1	0.1250	191.10
2	0.0813	191.23
3	0.0708	191.25
4	0.0672	191.12
5	0.0614	191.11
6	0.0561	191.23
7	0.0531	190.90
8	0.0504	191.33
9	0.0493	190.90
10	0.0478	191.28
11	0.0460	191.16
12	0.0450	191.02
13	0.0446	190.78
14	0.0435	191.01
15	0.0433	190.76
16	0.0429	191.03
17	0.0415	190.82
18	0.0406	190.93
19	0.0398	191.28
[32m[I 2023-04-03 18:12:58,374][0m Trial 5 finished with value: 0.039838679134845734 and parameters: {'optimizer': 'Adam', 'lr': 0.00028653311497263005, 'beta_1': 0.6969185128234328, 'beta_2': 0.8591663136278188, 'eps': 3.931669687480447e-08}. Best is trial 0 with value: 0.03800675645470619.[0m
Epoch	Bth_Error	Time
