Epoch	Bg_Error	Time
0	0.3775	292.31
1	0.3637	293.21
2	0.1106	294.27
3	0.0233	294.18
4	0.0173	294.34
5	0.0153	294.61
6	0.0143	294.36
7	0.0140	294.83
8	0.0131	294.59
9	0.0128	295.06
10	0.0123	294.60
11	0.0125	295.00
12	0.0121	294.16
13	0.0116	294.42
14	0.0114	293.94
15	0.0113	293.96
16	0.0110	294.25
17	0.0111	293.98
18	0.0113	293.57
19	0.0111	293.72
Epoch	Bg_Error	Time
0	0.3821	293.00
1	0.3682	292.98
2	0.3667	292.98
3	0.3669	293.15
4	0.2718	293.36
5	0.0753	293.66
6	0.0326	293.59
7	0.0221	293.72
8	0.0182	293.89
9	0.0165	293.81
10	0.0153	293.65
11	0.0142	294.04
12	0.0139	293.79
13	0.0131	293.47
14	0.0129	293.45
15	0.0126	293.64
16	0.0123	293.99
17	0.0119	294.00
18	0.0119	293.66
19	0.0116	293.51
Epoch	Bg_Error	Time
0	0.1940	293.49
1	0.0268	293.53
2	0.0177	293.84
3	0.0144	294.30
4	0.0130	293.50
5	0.0123	293.48
6	0.0117	293.51
7	0.0112	294.00
8	0.0108	292.88
9	0.0104	292.93
10	0.0101	292.98
11	0.0100	293.21
12	0.0096	293.40
13	0.0095	293.61
14	0.0095	293.40
15	0.0091	293.46
16	0.0090	293.31
17	0.0088	292.92
18	0.0087	292.89
19	0.0086	292.79
Epoch	Bg_Error	Time
0	0.3008	293.37
1	0.0328	293.49
2	0.0199	293.43
3	0.0160	293.37
4	0.0132	293.53
5	0.0133	293.49
6	0.0118	293.43
7	0.0115	293.27
8	0.0108	293.84
9	0.0105	294.08
10	0.0102	294.03
11	0.0099	293.63
12	0.0100	293.74
13	0.0096	293.66
14	0.0094	293.55
15	0.0092	294.04
16	0.0090	293.50
17	0.0088	293.69
18	0.0088	293.76
19	0.0088	293.63
Epoch	Bg_Error	Time
0	0.3717	292.96
1	0.1222	294.10
2	0.0293	294.04
3	0.0218	294.44
