[32m[I 2023-04-04 10:32:23,480][0m A new study created in memory with name: Bth_Hyperparam_Tune[0m
Epoch	Bth_Error	Time
0	0.2762	289.67
1	0.2741	290.98
2	0.2738	291.05
3	0.2728	290.73
4	0.2749	290.56
5	0.2743	290.53
6	0.2714	290.64
7	0.2720	290.41
8	0.2728	290.42
9	0.2730	290.36
10	0.2741	290.52
11	0.2732	290.33
12	0.2730	290.33
13	0.2735	290.42
14	0.2728	290.39
15	0.2753	290.38
16	0.2749	290.51
17	0.2739	290.39
18	0.2734	290.47
19	0.2724	290.67
[32m[I 2023-04-04 12:09:15,777][0m Trial 0 finished with value: 0.27235883474349976 and parameters: {'optimizer': 'Adam', 'lr': 0.0006948439012087038, 'beta_1': 0.7476374260029784, 'beta_2': 0.8208107141970007, 'eps': 1.1278713323096724e-09}. Best is trial 0 with value: 0.27235883474349976.[0m
Epoch	Bth_Error	Time
0	0.2841	290.87
1	0.2724	290.46
2	0.2729	290.72
3	0.2741	290.77
4	0.2725	290.70
5	0.2741	290.52
6	0.2716	290.52
7	0.2721	290.66
8	0.2737	290.78
9	0.2720	290.59
10	0.2745	290.74
11	0.2743	290.77
12	0.2712	290.36
13	0.2721	290.72
14	0.2746	290.76
15	0.2742	290.65
16	0.2723	290.60
17	0.2730	290.59
18	0.2726	290.71
19	0.2723	290.75
[32m[I 2023-04-04 13:46:09,783][0m Trial 1 finished with value: 0.2722512185573578 and parameters: {'optimizer': 'Adam', 'lr': 0.0004641107181511369, 'beta_1': 0.7180295856261882, 'beta_2': 0.7840753526250211, 'eps': 5.233477347471623e-09}. Best is trial 1 with value: 0.2722512185573578.[0m
Epoch	Bth_Error	Time
0	0.2802	293.61
1	0.2723	293.80
2	0.2743	293.97
3	0.2749	294.10
4	0.2707	294.31
5	0.2364	294.27
6	0.1442	294.22
7	0.1074	294.57
8	0.0930	294.79
9	0.0846	294.73
10	0.0811	294.48
11	0.0777	294.73
12	0.0753	294.40
13	0.0734	294.76
14	0.0712	294.99
15	0.0696	294.85
16	0.0681	294.69
17	0.0666	294.82
18	0.0655	294.96
19	0.0641	294.77
[32m[I 2023-04-04 15:24:20,337][0m Trial 2 finished with value: 0.06413272023200989 and parameters: {'optimizer': 'Adam', 'lr': 1.5875088857691391e-06, 'beta_1': 0.673753706644577, 'beta_2': 0.8532744497535432, 'eps': 8.760980896682176e-08}. Best is trial 2 with value: 0.06413272023200989.[0m
Epoch	Bth_Error	Time
0	0.2780	290.86
1	0.2739	290.16
2	0.2730	290.39
3	0.2738	290.11
4	0.2752	290.71
5	0.2715	290.25
6	0.2743	290.73
7	0.2739	290.42
8	0.2748	290.18
9	0.2743	290.47
10	0.2718	290.30
11	0.2734	290.43
12	0.2733	290.22
13	0.2755	290.34
14	0.2727	290.27
15	0.2732	290.40
16	0.2733	290.45
17	0.2709	290.24
18	0.2732	290.36
19	0.2734	290.36
[32m[I 2023-04-04 17:01:08,734][0m Trial 3 finished with value: 0.27344170212745667 and parameters: {'optimizer': 'Adam', 'lr': 0.0003844471910602247, 'beta_1': 0.6346449794328579, 'beta_2': 0.8280556722497081, 'eps': 2.8286010271197804e-09}. Best is trial 2 with value: 0.06413272023200989.[0m
Epoch	Bth_Error	Time
0	0.2797	293.87
1	0.2728	293.77
2	0.2733	293.99
3	0.2650	293.97
4	0.1602	294.66
5	0.1089	294.63
6	0.0926	294.74
7	0.0846	295.19
8	0.0796	294.70
9	0.0754	295.26
10	0.0726	295.17
11	0.0709	294.99
12	0.0681	294.99
13	0.0665	294.62
14	0.0645	295.10
15	0.0627	294.81
16	0.0617	295.14
17	0.0603	295.25
18	0.0592	295.04
19	0.0576	295.14
[32m[I 2023-04-04 18:39:24,527][0m Trial 4 finished with value: 0.05756940320134163 and parameters: {'optimizer': 'Adam', 'lr': 1.7356922987408031e-06, 'beta_1': 0.7463895217009995, 'beta_2': 0.904880998611355, 'eps': 2.9936777231773005e-09}. Best is trial 4 with value: 0.05756940320134163.[0m
Epoch	Bth_Error	Time
0	0.2840	294.37
1	0.2722	294.34
2	0.2715	294.45
3	0.2519	294.71
4	0.1374	294.69
5	0.0979	295.40
6	0.0847	295.08
