device = device(type='cuda', index=2)
Epoch	train_loss	Bg Train Error	test_loss	Bg Test Error	Bg Exp Data Error	time
0	0.148357	0.3435	0.005880	0.0706	16.8420	241.22
1	0.002503	0.0367	0.001461	0.0246	8.9952	242.75
2	0.001609	0.0264	0.001390	0.0275	8.5669	242.96
3	0.001438	0.0241	0.001286	0.0193	8.7501	242.38
4	0.001579	0.0249	0.001698	0.0307	7.8206	242.12
5	0.001365	0.0239	0.000973	0.0197	7.4894	242.12
6	0.001125	0.0217	0.001032	0.0175	7.8040	242.22
7	0.001137	0.0210	0.000948	0.0169	7.9109	241.99
8	0.000931	0.0198	0.000708	0.0150	8.5051	242.03
9	0.000898	0.0191	0.000882	0.0162	8.2868	242.03
10	0.000899	0.0184	0.000769	0.0217	9.1314	242.16
11	0.000677	0.0174	0.000621	0.0159	7.4730	241.74
12	0.000635	0.0162	0.000707	0.0153	8.0240	241.55
13	0.000580	0.0166	0.000430	0.0114	7.1143	241.29
14	0.000507	0.0157	0.000651	0.0225	9.6659	241.76
15	0.000484	0.0154	0.000426	0.0106	7.0696	241.76
16	0.000536	0.0160	0.000421	0.0108	7.0009	241.71
17	0.000435	0.0150	0.000374	0.0125	8.2659	241.33
18	0.000428	0.0158	0.000353	0.0131	7.3122	242.08
19	0.000386	0.0141	0.000392	0.0187	6.2204	242.07
20	0.000410	0.0144	0.000390	0.0153	7.9134	241.60
21	0.000351	0.0144	0.000293	0.0113	7.4405	242.54
22	0.000345	0.0139	0.000295	0.0118	9.1024	242.45
23	0.000316	0.0137	0.000444	0.0273	10.5907	242.18
24	0.000345	0.0133	0.000315	0.0114	7.2532	242.76
25	0.000295	0.0132	0.000310	0.0112	7.9267	242.81
26	0.000267	0.0127	0.000326	0.0124	8.5510	242.23
27	0.000265	0.0124	0.000293	0.0109	7.7751	242.33
28	0.000256	0.0128	0.000347	0.0101	7.0288	241.94
29	0.000326	0.0127	0.000233	0.0091	8.6451	242.16
30	0.000309	0.0128	0.000236	0.0137	5.9308	241.96
31	0.000287	0.0120	0.000292	0.0168	8.5186	242.16
32	0.000248	0.0120	0.000206	0.0108	9.0146	241.89
33	0.000253	0.0121	0.000284	0.0124	7.2468	241.91
34	0.000276	0.0120	0.000261	0.0089	7.5146	241.54
35	0.000271	0.0122	0.000355	0.0166	7.8466	241.82
36	0.000260	0.0112	0.000255	0.0132	6.0087	242.10
37	0.000226	0.0116	0.000243	0.0115	7.5227	242.01
38	0.000281	0.0119	0.000202	0.0079	6.7469	242.07
39	0.000253	0.0112	0.000318	0.0151	7.3619	241.59
40	0.000261	0.0117	0.000309	0.0096	6.6161	241.66
41	0.000217	0.0107	0.000196	0.0086	6.6428	241.67
42	0.000276	0.0112	0.000310	0.0127	8.2750	241.44
43	0.000304	0.0113	0.000256	0.0150	8.3755	241.69
44	0.000263	0.0111	0.000241	0.0093	8.3835	241.90
45	0.000299	0.0118	0.000252	0.0116	8.2107	241.51
46	0.000272	0.0112	0.000228	0.0084	8.0764	242.31
47	0.000258	0.0109	0.000260	0.0131	6.0570	241.87
48	0.000269	0.0116	0.000330	0.0113	11.6879	242.02
49	0.000270	0.0111	0.000230	0.0093	6.2203	242.11
50	0.000243	0.0104	0.000275	0.0079	6.9950	241.77
51	0.000249	0.0106	0.000226	0.0112	7.3541	241.54
52	0.000293	0.0111	0.000218	0.0093	7.0482	241.76
53	0.000241	0.0113	0.000235	0.0089	7.7531	242.25
54	0.000220	0.0104	0.000209	0.0077	7.5328	242.21
55	0.000281	0.0102	0.000271	0.0082	7.5384	241.82
56	0.000290	0.0106	0.000269	0.0120	6.8026	241.82
57	0.000259	0.0109	0.000194	0.0091	6.4124	241.86
58	0.000291	0.0109	0.000232	0.0084	6.5972	241.87
59	0.000221	0.0103	0.000181	0.0075	7.4132	242.27
60	0.000241	0.0096	0.000183	0.0078	6.9928	241.82
61	0.000268	0.0107	0.000286	0.0088	8.6471	241.91
62	0.000290	0.0111	0.000268	0.0088	7.3864	241.92
63	0.000294	0.0105	0.000235	0.0081	8.1606	242.12
64	0.000250	0.0104	0.000263	0.0094	6.6622	241.78
65	0.000242	0.0103	0.000304	0.0111	6.7818	242.05
66	0.000292	0.0101	0.000240	0.0083	7.9219	241.93
67	0.000217	0.0108	0.000217	0.0080	6.7927	241.84
68	0.000242	0.0098	0.000231	0.0103	7.0045	241.85
69	0.000255	0.0101	0.000286	0.0129	6.9522	242.31
70	0.000271	0.0104	0.000265	0.0147	6.8849	242.40
71	0.000269	0.0103	0.000219	0.0082	7.4831	241.73
72	0.000241	0.0100	0.000230	0.0084	7.9462	241.88
