device = device(type='cuda', index=2)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
0	0.077459	0.2470	0.024349	0.1625	22.3582	241.60
1	0.015251	0.1021	0.009297	0.0736	20.1506	243.10
2	0.010215	0.0826	0.021163	0.1064	19.7555	242.44
3	0.008680	0.0746	0.006987	0.0655	15.4381	242.45
4	0.007450	0.0677	0.006491	0.0662	13.8666	242.51
5	0.006803	0.0630	0.004639	0.0536	13.9588	242.75
6	0.006216	0.0589	0.007608	0.0619	13.4096	242.27
7	0.005426	0.0543	0.005130	0.0517	18.9259	242.90
8	0.004939	0.0511	0.007289	0.0654	16.4192	242.02
9	0.004599	0.0481	0.004398	0.0411	11.3812	242.09
10	0.004290	0.0460	0.005265	0.0488	10.9567	242.06
11	0.004116	0.0449	0.004100	0.0469	9.6395	242.31
12	0.003798	0.0425	0.002942	0.0365	10.9623	242.54
13	0.003688	0.0421	0.003359	0.0390	7.6728	241.97
14	0.003741	0.0420	0.003241	0.0428	8.0444	242.16
15	0.003522	0.0402	0.002918	0.0398	13.9292	241.87
16	0.003264	0.0391	0.002567	0.0349	7.8685	241.84
17	0.003262	0.0392	0.002591	0.0335	11.1058	242.13
18	0.003030	0.0374	0.002416	0.0338	12.8846	241.81
19	0.002992	0.0375	0.003035	0.0400	10.5948	241.80
20	0.002954	0.0371	0.002769	0.0344	16.6716	242.48
21	0.002872	0.0365	0.003405	0.0408	13.0299	242.57
22	0.002787	0.0363	0.002812	0.0438	9.7182	241.97
23	0.002733	0.0360	0.002409	0.0310	9.7877	242.16
24	0.002666	0.0359	0.002591	0.0442	9.8688	242.14
25	0.002644	0.0354	0.002405	0.0332	9.0719	242.71
26	0.002683	0.0356	0.002847	0.0456	10.0274	242.38
27	0.002588	0.0347	0.002229	0.0304	7.5996	241.71
28	0.002604	0.0343	0.002463	0.0334	6.7713	241.92
29	0.002508	0.0344	0.003057	0.0370	9.3247	242.10
30	0.002579	0.0347	0.002537	0.0328	8.6322	241.99
31	0.002582	0.0350	0.002120	0.0354	9.6641	242.23
32	0.002461	0.0337	0.002817	0.0334	14.2799	241.86
33	0.002446	0.0336	0.002574	0.0323	8.2123	242.40
34	0.002298	0.0330	0.002381	0.0307	8.3991	242.92
35	0.002427	0.0334	0.002346	0.0380	10.1121	242.05
36	0.002301	0.0324	0.002342	0.0336	12.2954	242.62
37	0.002356	0.0334	0.002201	0.0317	9.9693	242.44
38	0.002287	0.0325	0.001973	0.0301	9.1429	242.43
39	0.002384	0.0330	0.002486	0.0322	14.3992	242.03
40	0.002288	0.0324	0.002448	0.0277	10.3985	242.56
41	0.002296	0.0325	0.002100	0.0302	9.0509	242.11
42	0.002286	0.0314	0.001920	0.0289	9.5461	242.53
43	0.002168	0.0310	0.001973	0.0292	16.4457	242.78
44	0.002174	0.0315	0.002236	0.0328	13.9006	243.20
45	0.002157	0.0312	0.001948	0.0296	9.3414	243.22
46	0.002120	0.0310	0.002434	0.0343	9.5315	242.64
47	0.002161	0.0310	0.001953	0.0319	12.0444	242.94
48	0.002104	0.0305	0.002440	0.0285	9.4796	242.61
49	0.002128	0.0307	0.002323	0.0339	7.6473	242.67
50	0.002001	0.0301	0.002029	0.0322	10.7640	243.01
51	0.002056	0.0305	0.001878	0.0267	11.7804	242.49
52	0.002069	0.0302	0.002487	0.0340	7.5184	242.23
53	0.002063	0.0301	0.001959	0.0261	11.3935	242.60
54	0.002071	0.0300	0.001775	0.0326	14.8488	242.37
55	0.002004	0.0294	0.001699	0.0253	10.0801	242.73
56	0.002018	0.0295	0.001797	0.0252	9.9243	242.27
57	0.001980	0.0294	0.002103	0.0342	11.1515	242.69
58	0.002072	0.0303	0.002395	0.0379	12.0167	242.71
59	0.001918	0.0290	0.001816	0.0296	14.1608	242.74
60	0.001926	0.0290	0.002145	0.0336	11.9456	242.99
61	0.002057	0.0297	0.001946	0.0284	6.4714	242.52
62	0.001943	0.0291	0.001776	0.0253	10.6635	243.08
63	0.001936	0.0292	0.001740	0.0253	13.4252	242.38
64	0.001905	0.0284	0.003026	0.0351	8.2847	243.08
65	0.001925	0.0288	0.001944	0.0297	14.0817	242.36
66	0.001937	0.0284	0.001900	0.0318	9.7544	242.51
67	0.001922	0.0284	0.002532	0.0290	7.8527	242.76
68	0.001959	0.0284	0.001811	0.0247	9.0429	242.72
69	0.001941	0.0287	0.002076	0.0375	11.3292	242.58
70	0.001890	0.0284	0.001740	0.0257	8.9971	242.85
71	0.001871	0.0281	0.001881	0.0260	7.3293	242.73
72	0.001874	0.0283	0.002312	0.0270	10.4126	242.86
73	0.001833	0.0280	0.001722	0.0329	9.8359	242.99
74	0.001921	0.0283	0.002173	0.0350	10.2219	242.78
75	0.001852	0.0281	0.001804	0.0252	14.7458	242.52
76	0.001855	0.0274	0.001583	0.0239	15.4684	242.68
77	0.001845	0.0277	0.001853	0.0289	8.2018	241.93
78	0.001858	0.0279	0.001883	0.0311	12.9292	242.41
79	0.001810	0.0275	0.001703	0.0296	11.6056	242.95
80	0.001836	0.0274	0.001899	0.0248	12.4770	242.79
81	0.001827	0.0279	0.001587	0.0249	15.3742	242.38
82	0.001831	0.0270	0.002399	0.0286	9.1576	242.08
83	0.001804	0.0275	0.001885	0.0294	11.3522	242.41
84	0.001869	0.0272	0.001608	0.0274	12.0093	242.30
85	0.001849	0.0278	0.002264	0.0326	9.7408	242.87
86	0.001805	0.0275	0.001735	0.0230	13.7708	242.56
87	0.001872	0.0277	0.001943	0.0264	9.0184	242.62
88	0.001812	0.0273	0.002235	0.0314	13.1394	242.06
89	0.001903	0.0279	0.001885	0.0346	13.7652	243.07
90	0.001760	0.0273	0.001915	0.0287	12.3661	242.90
91	0.001828	0.0275	0.001611	0.0242	12.5008	242.09
92	0.001736	0.0268	0.001789	0.0246	19.1825	242.91
93	0.001779	0.0271	0.002009	0.0309	12.4530	242.59
94	0.001796	0.0273	0.001476	0.0220	9.6941	242.67
95	0.001706	0.0262	0.001993	0.0276	10.8543	242.21
96	0.001738	0.0266	0.001548	0.0230	13.6295	242.26
97	0.001732	0.0261	0.002500	0.0264	10.6159	242.48
98	0.001728	0.0262	0.002171	0.0437	11.8948	242.41
99	0.001753	0.0265	0.001558	0.0314	9.6208	242.48
100	0.001690	0.0263	0.001916	0.0238	14.6037	242.70
101	0.001708	0.0266	0.001734	0.0271	19.2057	242.46
102	0.001760	0.0264	0.001595	0.0314	9.8022	242.13
103	0.001658	0.0260	0.001741	0.0244	8.0426	242.50
104	0.001691	0.0262	0.001668	0.0231	12.1479	242.41
105	0.001771	0.0264	0.001767	0.0246	13.2850	242.08
106	0.001726	0.0263	0.001748	0.0234	12.7422	242.66
107	0.001721	0.0262	0.001653	0.0320	12.5299	242.39
108	0.001731	0.0262	0.003220	0.0315	15.5867	242.69
109	0.001761	0.0266	0.001617	0.0225	11.3562	242.64
110	0.001680	0.0260	0.001673	0.0270	11.3309	242.23
111	0.001731	0.0260	0.001603	0.0228	9.9089	242.21
112	0.001806	0.0267	0.001561	0.0222	12.3745	242.58
113	0.001810	0.0265	0.001800	0.0326	9.2759	242.69
114	0.001673	0.0263	0.001858	0.0276	13.0260	242.35
115	0.001717	0.0260	0.001548	0.0244	15.5377	243.09
116	0.001710	0.0262	0.001419	0.0211	7.3563	242.39
117	0.001714	0.0262	0.001676	0.0249	11.2528	242.03
118	0.001701	0.0258	0.001630	0.0225	10.5597	242.37
119	0.001691	0.0258	0.001612	0.0232	12.7940	242.41
120	0.001711	0.0262	0.001828	0.0258	15.4730	242.30
121	0.001752	0.0263	0.002002	0.0377	17.7099	242.66
122	0.001670	0.0260	0.001728	0.0229	10.8426	242.62
123	0.001815	0.0267	0.001629	0.0233	11.6779	242.64
124	0.001716	0.0260	0.001623	0.0281	11.9352	242.15
125	0.001626	0.0251	0.001539	0.0265	15.4093	242.47
126	0.001704	0.0259	0.001629	0.0236	14.4860	242.29
127	0.001672	0.0256	0.001618	0.0247	14.2166	242.44
128	0.001689	0.0260	0.001710	0.0267	13.7478	242.17
129	0.001749	0.0254	0.001680	0.0244	12.3943	242.47
130	0.001673	0.0259	0.001496	0.0223	19.3681	242.59
131	0.001628	0.0250	0.001803	0.0245	13.1247	242.54
132	0.001635	0.0256	0.001476	0.0246	13.6777	242.40
133	0.001646	0.0255	0.001648	0.0235	13.3097	242.29
134	0.001717	0.0259	0.001553	0.0234	13.2103	242.26
135	0.001773	0.0260	0.001719	0.0275	15.5627	242.30
136	0.001638	0.0251	0.001509	0.0254	14.4146	242.48
137	0.001625	0.0253	0.001565	0.0216	12.2833	242.41
138	0.001667	0.0255	0.002399	0.0270	16.5063	242.31
139	0.001694	0.0256	0.001526	0.0239	11.1366	242.47
140	0.001608	0.0251	0.001586	0.0259	20.1684	242.44
141	0.001648	0.0253	0.001563	0.0217	15.5397	242.37
142	0.001647	0.0251	0.001954	0.0293	15.0310	242.59
143	0.001660	0.0253	0.001473	0.0261	14.2784	242.49
144	0.001588	0.0250	0.001452	0.0220	11.8619	242.22
145	0.001678	0.0253	0.002022	0.0247	11.2476	242.68
146	0.001628	0.0254	0.001652	0.0257	17.4120	242.37
147	0.001618	0.0251	0.001585	0.0248	13.6925	242.16
148	0.001689	0.0254	0.001422	0.0219	16.1871	242.58
149	0.001619	0.0252	0.001464	0.0222	17.4536	242.55
150	0.001675	0.0252	0.001971	0.0347	16.9750	242.67
151	0.001643	0.0255	0.001366	0.0212	14.3633	242.30
152	0.001684	0.0254	0.001624	0.0241	14.7091	242.25
153	0.001634	0.0249	0.001392	0.0232	13.6303	241.98
154	0.001611	0.0250	0.001573	0.0211	14.9038	242.26
155	0.001587	0.0248	0.001672	0.0285	15.2707	242.20
156	0.001629	0.0252	0.001640	0.0237	13.9513	242.26
157	0.001572	0.0247	0.001645	0.0300	12.0205	242.23
158	0.001597	0.0250	0.001614	0.0224	9.6449	242.48
159	0.001708	0.0254	0.001925	0.0278	15.2409	242.29
