device = device(type='cuda', index=0)
Epoch	train_loss	Bg Train Error	test_loss	Bg Test Error	Bg Exp Data Error	time
0	0.026517	0.1511	0.000141	0.0129	8.0816	354.13
1	0.000580	0.0179	0.000124	0.0119	6.7454	354.34
2	0.000175	0.0128	0.000077	0.0089	6.6348	355.16
3	0.000168	0.0118	0.000074	0.0088	5.9326	355.28
4	0.000108	0.0103	0.000068	0.0082	6.0026	355.70
5	0.000100	0.0098	0.000095	0.0105	5.9649	355.10
6	0.000084	0.0090	0.000094	0.0095	6.5527	355.52
7	0.000084	0.0089	0.000123	0.0105	6.4238	355.13
8	0.000084	0.0089	0.000063	0.0077	5.8322	355.51
9	0.000076	0.0085	0.000069	0.0087	6.5511	368.02
10	0.000069	0.0081	0.000138	0.0110	6.0686	370.19
11	0.000071	0.0081	0.000085	0.0085	6.3540	370.18
12	0.000068	0.0080	0.000070	0.0082	5.9833	370.40
13	0.000069	0.0079	0.000055	0.0068	6.3413	369.86
14	0.000066	0.0078	0.000060	0.0071	6.1904	370.54
15	0.000064	0.0077	0.000056	0.0069	6.2111	369.84
16	0.000065	0.0078	0.000058	0.0071	6.1713	369.79
17	0.000062	0.0075	0.000051	0.0068	6.2117	369.86
18	0.000062	0.0075	0.000062	0.0074	6.2444	370.00
19	0.000063	0.0076	0.000052	0.0067	6.4190	369.49
20	0.000059	0.0073	0.000116	0.0094	6.1684	370.33
21	0.000060	0.0074	0.000055	0.0066	6.1613	370.52
22	0.000061	0.0073	0.000051	0.0066	6.1066	369.20
23	0.000059	0.0073	0.000053	0.0068	6.1068	354.79
24	0.000062	0.0074	0.000052	0.0066	6.0302	355.32
25	0.000061	0.0074	0.000058	0.0077	6.2897	354.52
26	0.000062	0.0073	0.000054	0.0073	6.3400	354.99
27	0.000060	0.0072	0.000052	0.0064	6.0863	354.85
28	0.000056	0.0070	0.000058	0.0072	6.3569	354.50
29	0.000058	0.0072	0.000051	0.0072	6.0162	354.90
30	0.000057	0.0071	0.000047	0.0064	5.7602	354.80
31	0.000058	0.0071	0.000051	0.0066	6.2760	354.64
32	0.000056	0.0070	0.000070	0.0077	6.5178	354.36
33	0.000056	0.0070	0.000047	0.0063	6.2439	354.76
34	0.000057	0.0070	0.000054	0.0070	6.3722	354.74
35	0.000057	0.0070	0.000047	0.0063	6.1436	354.27
36	0.000054	0.0069	0.000046	0.0063	6.4017	354.47
37	0.000056	0.0070	0.000059	0.0077	6.1114	354.71
38	0.000056	0.0069	0.000055	0.0068	6.6058	354.42
39	0.000052	0.0069	0.000046	0.0063	6.1939	354.67
40	0.000058	0.0070	0.000045	0.0063	6.1792	354.82
41	0.000051	0.0067	0.000055	0.0067	6.1388	354.83
42	0.000051	0.0068	0.000056	0.0068	6.1655	354.12
43	0.000052	0.0067	0.000048	0.0064	6.1855	354.87
44	0.000051	0.0067	0.000064	0.0071	6.7015	354.72
45	0.000052	0.0068	0.000054	0.0076	5.9178	354.83
46	0.000051	0.0067	0.000082	0.0090	5.8830	354.53
47	0.000052	0.0067	0.000057	0.0070	6.1419	354.23
48	0.000052	0.0067	0.000046	0.0061	6.1924	354.87
49	0.000050	0.0066	0.000046	0.0068	6.2363	354.54
50	0.000049	0.0066	0.000043	0.0062	6.2447	354.83
51	0.000048	0.0065	0.000048	0.0066	6.2067	354.53
52	0.000051	0.0066	0.000047	0.0062	5.9463	354.44
53	0.000047	0.0065	0.000040	0.0059	6.4642	354.16
54	0.000048	0.0065	0.000045	0.0063	6.2853	354.20
55	0.000047	0.0065	0.000048	0.0066	6.1929	354.66
56	0.000048	0.0065	0.000040	0.0060	6.4672	354.76
57	0.000047	0.0065	0.000042	0.0059	6.7350	354.25
58	0.000047	0.0064	0.000056	0.0075	6.1558	354.28
59	0.000048	0.0064	0.000051	0.0062	6.3828	354.53
60	0.000045	0.0064	0.000043	0.0061	6.1613	354.25
61	0.000047	0.0064	0.000046	0.0062	6.2305	354.59
62	0.000045	0.0064	0.000046	0.0066	6.0312	354.66
63	0.000046	0.0064	0.000041	0.0061	6.2505	354.52
64	0.000046	0.0064	0.000041	0.0063	5.9409	354.61
65	0.000046	0.0064	0.000052	0.0065	6.7416	354.40
66	0.000047	0.0064	0.000042	0.0062	6.2387	354.77
67	0.000047	0.0063	0.000047	0.0064	6.4375	354.83
68	0.000043	0.0062	0.000038	0.0060	6.2048	354.81
69	0.000046	0.0063	0.000040	0.0057	6.4509	354.53
70	0.000045	0.0062	0.000054	0.0066	6.3536	354.11
71	0.000046	0.0063	0.000050	0.0071	6.3321	354.78
72	0.000045	0.0062	0.000042	0.0058	6.2023	354.37
73	0.000046	0.0063	0.000040	0.0058	6.2468	354.17
74	0.000045	0.0062	0.000051	0.0065	6.3940	354.53
75	0.000045	0.0062	0.000041	0.0061	6.1611	354.45
76	0.000043	0.0061	0.000041	0.0058	6.0550	354.93
77	0.000045	0.0061	0.000060	0.0076	5.9549	354.37
78	0.000042	0.0060	0.000037	0.0055	6.3997	354.84
79	0.000042	0.0061	0.000037	0.0059	6.0065	354.31
80	0.000042	0.0061	0.000043	0.0059	6.2657	355.20
81	0.000044	0.0061	0.000050	0.0067	6.0777	354.83
82	0.000042	0.0060	0.000040	0.0059	6.1288	354.78
83	0.000042	0.0060	0.000041	0.0058	6.2213	354.87
84	0.000043	0.0060	0.000042	0.0058	6.5678	354.94
85	0.000042	0.0060	0.000037	0.0056	6.5903	354.92
86	0.000042	0.0060	0.000038	0.0056	6.3405	354.65
87	0.000041	0.0059	0.000038	0.0056	6.3958	354.54
88	0.000041	0.0059	0.000042	0.0058	6.3850	354.17
89	0.000042	0.0060	0.000038	0.0062	5.9982	354.46
90	0.000040	0.0059	0.000042	0.0062	6.1002	354.80
91	0.000043	0.0060	0.000036	0.0055	6.0767	355.10
92	0.000038	0.0058	0.000038	0.0056	6.0969	354.58
93	0.000040	0.0059	0.000042	0.0059	6.2024	354.74
