device = device(type='cuda', index=1)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
0	0.054422	0.2727	0.038302	0.1539	22.3999	355.92
1	0.008512	0.0760	0.004197	0.0569	24.1579	357.16
2	0.004100	0.0490	0.002970	0.0410	23.0810	357.50
3	0.003076	0.0406	0.002601	0.0401	20.0543	357.81
4	0.002464	0.0354	0.002959	0.0350	23.1242	357.53
5	0.002157	0.0320	0.001843	0.0278	22.4514	357.21
6	0.001856	0.0293	0.001908	0.0276	12.9025	357.56
7	0.001768	0.0284	0.001685	0.0269	16.0800	357.49
8	0.001689	0.0272	0.001616	0.0328	20.9342	363.99
9	0.001594	0.0263	0.001596	0.0252	16.3944	372.42
10	0.001454	0.0247	0.001421	0.0243	15.4511	372.25
11	0.001472	0.0244	0.001342	0.0226	22.1555	372.52
12	0.001407	0.0237	0.001372	0.0231	18.0535	372.51
13	0.001413	0.0236	0.001560	0.0229	15.2711	372.04
14	0.001348	0.0228	0.001239	0.0216	17.7961	371.95
15	0.001318	0.0223	0.001209	0.0203	17.5111	372.47
16	0.001322	0.0224	0.001314	0.0207	12.3326	372.51
17	0.001276	0.0215	0.001186	0.0196	15.2711	372.29
18	0.001252	0.0216	0.001451	0.0215	19.5962	372.54
19	0.001254	0.0214	0.001152	0.0208	20.4745	372.44
20	0.001221	0.0208	0.001147	0.0203	13.5879	372.38
21	0.001230	0.0206	0.001134	0.0189	17.9678	372.27
22	0.001236	0.0205	0.001376	0.0199	17.6908	361.10
23	0.001204	0.0204	0.001104	0.0197	16.8615	357.18
24	0.001204	0.0202	0.001105	0.0192	14.6623	356.61
25	0.001200	0.0201	0.001259	0.0198	15.6801	356.84
26	0.001183	0.0199	0.001127	0.0188	11.5844	356.63
27	0.001137	0.0195	0.001183	0.0199	13.5846	356.70
28	0.001161	0.0197	0.001046	0.0176	14.0773	357.31
29	0.001168	0.0196	0.001201	0.0188	14.0324	356.89
30	0.001137	0.0190	0.001408	0.0187	13.2969	356.79
31	0.001135	0.0190	0.001036	0.0176	12.8337	356.99
32	0.001120	0.0190	0.001131	0.0194	15.8129	357.03
33	0.001115	0.0188	0.001083	0.0192	15.2923	356.79
34	0.001153	0.0191	0.001122	0.0185	10.6151	356.70
35	0.001135	0.0191	0.001220	0.0210	10.7000	356.04
36	0.001123	0.0188	0.001000	0.0184	14.8016	356.50
37	0.001113	0.0186	0.001137	0.0179	15.3654	356.54
38	0.001077	0.0182	0.000972	0.0158	15.2145	356.27
39	0.001067	0.0182	0.001048	0.0179	14.5775	356.80
40	0.001101	0.0184	0.001014	0.0173	13.9627	356.79
41	0.001089	0.0182	0.001099	0.0175	9.6693	356.79
42	0.001072	0.0180	0.001034	0.0170	16.4530	356.74
43	0.001093	0.0182	0.000996	0.0166	12.9999	356.89
44	0.001051	0.0178	0.001166	0.0191	19.2675	356.62
45	0.001063	0.0178	0.001014	0.0196	11.7553	356.87
46	0.001056	0.0177	0.001003	0.0175	11.7873	356.68
