Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.39321417,0.38853192,3416.900146484375,24052.81640625,3.0
0.5678638,0.6024474,4657.591796875,75670.0078125,8.0
0.30493045,0.31092036,55512.98828125,93992.7109375,7.0
0.2739129,0.2731508,1435.326416015625,49043.66796875,8.0
0.41053182,0.41086358,4244.26708984375,83039.078125,11.0
0.6174319,0.69941473,4515.52783203125,18200.767578125,2.0
0.4269668,0.42596048,7645.53857421875,91125.78125,7.0
0.46498284,0.46637625,11436.57421875,78050.6796875,5.0
0.80425143,0.7245383,9207.1572265625,21918.31640625,3.0
0.2810651,0.2799555,485.39874267578125,30816.919921875,12.0
0.23580483,0.24364299,59060.953125,96949.8359375,5.0
0.38590932,0.3842405,3749.652587890625,46097.47265625,9.0
0.2580265,0.25762638,24052.81640625,73361.9453125,3.0
0.4679843,0.46715888,10749.5458984375,91125.78125,10.0
0.5478315,0.54761213,18773.384765625,66851.6484375,4.0
0.25155726,0.25217766,9795.607421875,88346.296875,8.0
0.34749883,0.349733,8654.056640625,78050.6796875,7.0
0.48662046,0.4862274,64812.5625,93992.7109375,2.0
0.70628715,0.7702707,17645.61328125,33818.00390625,4.0
0.23806176,0.23318139,3749.652587890625,96949.8359375,10.0
0.29825282,0.29619455,703.936767578125,91125.78125,9.0
0.4951664,0.49747202,6754.5498046875,62835.67578125,7.0
0.3800022,0.37999806,3113.677001953125,64812.5625,12.0
0.31104845,0.31119847,60919.08203125,83039.078125,3.0
0.33523786,0.33419964,1268.0577392578125,49043.66796875,6.0
0.4869964,0.48427364,19364.01953125,91125.78125,3.0
0.6218456,0.62703764,21918.31640625,88346.296875,12.0
0.30283716,0.3025261,8134.18212890625,75670.0078125,8.0
0.27175128,0.2778061,64812.5625,96949.8359375,7.0
0.44260335,0.4405641,8390.09375,80506.25,10.0
0.45145053,0.44759917,13772.521484375,60919.08203125,3.0
0.4780138,0.5361284,1956.4998779296875,46097.47265625,11.0
0.45651644,0.45268992,15589.24609375,96949.8359375,2.0
0.5325824,0.53883386,43328.265625,91125.78125,8.0
0.38245326,0.3828436,57259.49609375,93992.7109375,6.0
0.23233487,0.22862457,3989.301513671875,7886.07666015625,3.0
0.46135423,0.46369112,17645.61328125,50586.64453125,2.0
0.51513207,0.5260968,32786.5,80506.25,10.0
0.39689726,0.39696127,3867.621337890625,35979.390625,5.0
0.41339678,0.41458008,16079.703125,91125.78125,12.0
0.5305465,0.5323044,13772.521484375,68954.8828125,11.0
0.31038287,0.31282884,52178.1640625,83039.078125,9.0
0.36895072,0.36624038,2666.913818359375,31786.458984375,7.0
0.25746903,0.25959605,20601.619140625,88346.296875,6.0
0.2993796,0.2740703,55512.98828125,93992.7109375,8.0
0.42636096,0.42468673,8134.18212890625,88346.296875,5.0
0.32209903,0.3211389,3635.281982421875,3635.281982421875,1.0
0.29198533,0.29269725,2018.0538330078125,47547.7578125,7.0
0.32178706,0.3203614,1575.1046142578125,40725.41015625,3.0
0.39132562,0.39237988,3018.70458984375,93992.7109375,11.0
0.38952821,0.3835268,50586.64453125,91125.78125,8.0
0.55258924,0.5523374,9207.1572265625,66851.6484375,10.0
0.52828306,0.5473846,85651.5859375,85651.5859375,1.0
0.25110507,0.24987346,27225.607421875,78050.6796875,9.0
0.22737947,0.2274975,1435.326416015625,35979.390625,2.0
0.40787596,0.408225,5437.8349609375,19364.01953125,4.0
0.4324674,0.43064114,6754.5498046875,68954.8828125,5.0
0.25758785,0.25786287,566.7130737304688,33818.00390625,11.0
0.23011136,0.23109284,4804.12548828125,75670.0078125,2.0
0.27487156,0.27439395,516.4216918945312,85651.5859375,11.0
0.26650304,0.26518384,5785.37939453125,34881.9609375,4.0
0.63325906,0.7036387,6348.78466796875,75670.0078125,6.0
0.42928022,0.42816186,5608.916015625,93992.7109375,11.0
0.4785225,0.47575614,28965.658203125,88346.296875,7.0
0.5666013,0.549505,40725.41015625,96949.8359375,5.0
0.28544205,0.28315687,901.8970336914062,35979.390625,4.0
0.268016,0.2639053,874.3876953125,71124.2890625,5.0
0.4785065,0.47462294,11436.57421875,39483.21875,6.0
0.5936397,0.54559916,1956.4998779296875,64812.5625,8.0
0.22591817,0.23269367,50586.64453125,96949.8359375,10.0
0.5472926,0.5422484,12167.5126953125,96949.8359375,6.0
0.61568296,0.6209935,17107.39453125,96949.8359375,8.0
0.25858837,0.25837755,4657.591796875,4657.591796875,1.0
0.59730923,0.600337,12550.3173828125,55512.98828125,6.0
0.55703,0.55826527,11087.740234375,88346.296875,11.0
0.33646786,0.33437157,5271.97216796875,96949.8359375,6.0
0.39271063,0.3900388,7886.07666015625,93992.7109375,4.0
0.53605235,0.54329413,13352.4375,47547.7578125,4.0
0.24546555,0.24572258,470.5932922363281,24052.81640625,6.0
0.32288462,0.3193315,1956.4998779296875,31786.458984375,5.0
0.7673087,0.6942413,6967.056640625,80506.25,6.0
0.26067412,0.25945598,1480.4835205078125,25590.0859375,6.0
0.7397455,0.7251493,9795.607421875,64812.5625,10.0
0.22446895,0.2471081,57259.49609375,57259.49609375,1.0
0.501445,0.4953131,5111.16845703125,47547.7578125,5.0
0.71883416,0.71655947,42006.68359375,83039.078125,9.0
0.375338,0.3734405,4657.591796875,73361.9453125,10.0
0.30713338,0.3048827,772.4891357421875,73361.9453125,9.0
0.6176964,0.6412194,27225.607421875,32786.5,2.0
0.81529105,0.795069,28965.658203125,46097.47265625,2.0
0.35641107,0.34681892,1480.4835205078125,85651.5859375,10.0
0.32740864,0.3224219,2356.119384765625,83039.078125,2.0
0.27329552,0.28142288,80506.25,80506.25,1.0
0.44650963,0.44104642,11796.3837890625,46097.47265625,3.0
0.41714424,0.41488194,4515.52783203125,91125.78125,10.0
0.38243848,0.3793945,5437.8349609375,93992.7109375,11.0
0.6746793,0.6868289,37111.34765625,96949.8359375,9.0
0.26187605,0.26016626,1307.952392578125,55512.98828125,10.0
0.44923878,0.44448027,8134.18212890625,53819.75390625,9.0
0.4584671,0.45812625,19364.01953125,68954.8828125,8.0
0.60037935,0.7057251,7886.07666015625,88346.296875,6.0
0.2328372,0.22775446,37111.34765625,75670.0078125,4.0
0.4540363,0.44700623,18200.767578125,68954.8828125,6.0
0.4554935,0.4529506,7412.3369140625,96949.8359375,8.0
0.2915636,0.28782326,1391.546630859375,85651.5859375,12.0
0.44774622,0.4460706,7886.07666015625,93992.7109375,6.0
0.46153408,0.45290607,38278.91796875,75670.0078125,3.0
0.43002963,0.42460167,8134.18212890625,44691.42578125,6.0
0.40242964,0.39813438,32786.5,60919.08203125,2.0
0.4557936,0.4541469,11436.57421875,88346.296875,9.0
0.30283317,0.30013117,500.6700134277344,35979.390625,8.0
0.2819816,0.27912772,456.23944091796875,4955.26953125,4.0
